model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapAct,GED, CNE, Jaccard
Process101,0,0,0,0,0,0,0,1.0,1.0,1.0
Process101,0,0,0,0,0,0,1,0.8771929824561404,0.8771929824561403,0.9266666666666667
Process101,0,0,0,0,0,0,2,0.8070175438596492,0.8070175438596491,0.9123076923076924
Process101,0,0,0,0,0,0,3,0.7192982456140351,0.7192982456140351,0.873225806451613
Process101,0,0,0,0,0,1,0,0.9911504424778761,0.9911504424778761,0.9964285714285714
Process101,0,0,0,0,0,1,1,0.8672566371681416,0.8672566371681416,0.9375
Process101,0,0,0,0,0,1,2,0.8849557522123894,0.8849557522123894,0.9386029411764707
Process101,0,0,0,0,0,1,3,0.7256637168141593,0.7256637168141593,0.878735632183908
Process101,0,0,0,0,0,2,0,0.9821428571428571,0.9821428571428571,0.9892857142857143
Process101,0,0,0,0,0,2,1,0.8571428571428572,0.8571428571428571,0.9223529411764706
Process101,0,0,0,0,0,2,2,0.9464285714285714,0.9464285714285714,0.9608695652173913
Process101,0,0,0,0,0,2,3,0.6607142857142857,0.6607142857142857,0.8538636363636364
Process101,0,0,0,0,0,3,0,0.972972972972973,0.972972972972973,0.9857142857142858
Process101,0,0,0,0,0,3,1,0.8828828828828829,0.8828828828828829,0.93125
Process101,0,0,0,0,0,3,2,0.7387387387387387,0.7387387387387387,0.8846428571428572
Process101,0,0,0,0,0,3,3,0.7339449541284404,0.7339449541284404,0.8715517241379311
Process101,0,0,0,0,1,0,0,0.991304347826087,0.991304347826087,1.0
Process101,0,0,0,0,1,0,1,0.9557522123893806,0.9557522123893806,0.9727272727272728
Process101,0,0,0,0,1,0,2,0.817391304347826,0.8173913043478261,0.9159919028340081
Process101,0,0,0,0,1,0,3,0.6086956521739131,0.6086956521739131,0.8436363636363637
Process101,0,0,0,0,1,1,0,0.9824561403508771,0.9824561403508771,0.9964285714285714
Process101,0,0,0,0,1,1,1,0.8245614035087719,0.8245614035087719,0.9230526315789473
Process101,0,0,0,0,1,1,2,0.8245614035087719,0.8245614035087719,0.9101307189542485
Process101,0,0,0,0,1,1,3,0.8245614035087719,0.8245614035087719,0.9111111111111112
Process101,0,0,0,0,1,2,0,0.9734513274336283,0.9734513274336283,0.9827922077922078
Process101,0,0,0,0,1,2,1,0.8672566371681416,0.8672566371681416,0.9303750000000001
Process101,0,0,0,0,1,2,2,0.7787610619469026,0.7787610619469026,0.8972222222222223
Process101,0,0,0,0,1,2,3,0.6902654867256637,0.6902654867256637,0.8692857142857143
Process101,0,0,0,0,1,3,0,0.9821428571428571,0.9821428571428571,0.9928571428571429
Process101,0,0,0,0,1,3,1,0.8214285714285714,0.8214285714285714,0.9101809954751132
Process101,0,0,0,0,1,3,2,0.7857142857142857,0.7857142857142857,0.8946428571428572
Process101,0,0,0,0,1,3,3,0.7037037037037037,0.7037037037037037,0.8614705882352942
Process101,0,0,0,0,2,0,0,0.9827586206896551,0.9827586206896551,0.9931818181818182
Process101,0,0,0,0,2,0,1,0.9391304347826087,0.9391304347826087,0.9672463768115942
