refSim,Indices,Update,Score
0.161363636,1,1.2,0.161363636
0.689375,2,1.2,0.196818182
0.553939394,3,1.2,0.182727273
0.9878125,5,,0.182727273
0.799785714,6,1.2,0.213181818
0.844464286,8,1.2,0.243636364
0.997592593,10,,0.243636364
0.878428571,13,1.2,0.274090909
0.992676056,14,,0.274090909
0.737371183,16,1.2,0.365454545
0.9959375,17,,0.365454545
0.995968992,22,,0.365454545
0.883448551,58,1.2,0.395909091
0.78696051,77,1.2,0.434220779
0.997758621,151,,0.434220779
0.867028571,152,1.2,0.426363636
0.895231256,153,1.2,0.456818182
0.925426429,158,,0.487272727
0.925407633,163,,0.487272727
0.926450199,170,,0.487272727
0.925966432,175,,0.487272727
0.846265274,235,1.2,0.517727273
0.99166212,,,0.517727273
0.992649989,,,0.517727273
0.99039965,,,0.517727273
0.989872078,,,0.517727273
0.988127413,,,0.517727273
0.988154862,,,0.517727273
0.987650986,,,0.517727273
0.987880409,,,0.517727273
0.987852746,,,0.517727273
0.987880409,,,0.517727273
0.987129432,,,0.517727273
0.987073271,,,0.517727273
0.985105468,,,0.517727273
0.985105468,,,0.517727273
0.984359143,,,0.517727273
0.982646072,,,0.517727273
0.983575093,,,0.517727273
0.983108775,,,0.517727273
0.982602939,,,0.517727273
0.984082906,,,0.517727273
0.983108775,,,0.517727273
0.982097102,,,0.517727273
0.982097102,,,0.517727273
0.98163832,,,0.517727273
0.982097102,,,0.517727273
0.981852459,,,0.517727273
0.982820662,,,0.517727273
0.983286655,,,0.517727273
0.981852459,,,0.517727273
0.981346623,,,0.517727273
0.926953216,,,0.548181818
0.927313078,,,0.548181818
0.926953216,,,0.548181818
0.927762905,,,0.548181818
0.926953216,,,0.548181818
0.877959886,,1.2,0.578636364
0.997875817,,,0.578636364
0.942747003,,,0.609090909
0.942747003,,,0.609090909
0.942747003,,,0.609090909
0.940904844,,,0.609090909
0.941587853,,,0.609090909
0.941587853,,,0.609090909
0.940720347,,,0.609090909
0.94034244,,,0.609090909
0.939964533,,,0.609090909
0.939586626,,,0.609090909
0.938328645,,,0.609090909
0.938328645,,,0.609090909
0.938968016,,,0.609090909
0.938968016,,,0.609090909
0.937575021,,,0.609090909
0.931621955,,,0.609090909
0.932577205,,,0.609090909
0.8879251,,,0.639545455
0.997886179,,1.2,0.639545455
0.993633019,,,0.639545455
0.993624449,,,0.639545455
0.993281667,,,0.639545455
0.993272145,,,0.639545455
0.992919842,,,0.639545455
0.992919842,,,0.639545455
0.993615833,,,0.639545455
0.992567538,,,0.639545455
0.991862931,,,0.639545455
0.99255605,,,0.639545455
0.990822208,,,0.639545455
0.990822208,,,0.639545455
0.990470856,,,0.639545455
0.991158324,,,0.639545455
0.989768154,,,0.639545455
0.990789746,,,0.639545455
0.991143007,,,0.639545455
0.989768154,,,0.639545455
0.989588545,,,0.639545455
0.989588545,,,0.639545455
0.988202183,,,0.639545455
0.94205112,,,0.67
0.942368193,,,0.67
0.94205112,,,0.67
0.938641768,,,0.67
