refSim, trueSim
0.1123595505617978,1.0,90
0.5806451612903225,1.0,92
0.5384615384615384,1.0,93
0.8732394366197183,1.0,94
0.7640449438202247,1.0,95
0.6849315068493151,1.0,97
0.8476190476190476,1.0,99
0.8492063492063492,1.0,102
0.8844884488448845,1.0,105
0.8733153638814016,1.0,110
0.8347107438016529,1.0,116
0.9179229480737019,1.0,125
0.9212730318257957,1.0,128
0.8486739469578783,1.0,132
0.9902912621359223,1.0,136
0.9944598337950139,1.0,141
0.9930651872399445,1.0,144
0.9766162310866575,1.0,148
0.9752747252747253,1.0,152
0.9710344827586207,1.0,156
0.931909212283044,1.0,160
0.935656836461126,1.0,164
0.9317269076305221,1.0,168
0.9274193548387096,1.0,171
0.9301075268817205,1.0,175
0.9259757738896366,1.0,179
0.9274193548387096,1.0,182
0.9257759784075573,1.0,186
0.9245283018867925,1.0,189
0.9243243243243243,1.0,193
0.9232839838492598,1.0,196
0.9232839838492598,1.0,200
0.9230769230769231,1.0,213
0.9245283018867925,1.0,217
0.9245283018867925,1.0,221
0.9272237196765498,1.0,224
0.9259757738896366,1.0,228
0.864321608040201,1.0,232
0.994232987312572,1.0,237
0.9896193771626297,1.0,241
0.9896193771626297,1.0,245
0.9884526558891455,1.0,250
0.9872832369942196,1.0,253
0.9930555555555556,1.0,257
0.9907407407407407,1.0,261
0.9895953757225433,1.0,265
0.9375684556407448,1.0,270
0.9385964912280702,1.0,275
0.9385964912280702,1.0,280
0.9385964912280702,1.0,284
0.9385964912280702,1.0,289
0.935093509350935,1.0,294
0.9374313940724479,1.0,299
0.9362637362637363,1.0,304
0.9342105263157895,1.0,309
0.9384615384615385,1.0,313
0.9330406147091108,1.0,318
0.9372937293729373,1.0,322
0.9340659340659341,1.0,327
0.9318681318681319,1.0,332
0.933920704845815,1.0,336
0.933920704845815,1.0,341
0.9328932893289329,1.0,345
0.9318681318681319,1.0,350
0.9318681318681319,1.0,354
0.9308452250274424,1.0,359
0.9361233480176212,1.0,370
0.935093509350935,1.0,375
0.9372937293729373,1.0,379
0.935093509350935,1.0,383
0.9362637362637363,1.0,388
0.9384615384615385,1.0,392
0.9340659340659341,1.0,396
0.9340659340659341,1.0,400
0.9330406147091108,1.0,405
0.9330406147091108,1.0,409
0.9318681318681319,1.0,413
0.9362637362637363,1.0,417
