baseline-sim, discover-sim
0.13,0.67
1,0.67
0.999,0.67
0.997678571,0.67
0.997022901,0.67
0.997660668,0.67
0.993810934,0.67
0.992488683,0.67
0.992488683,0.67
0.992499709,0.67
0.991531746,0.67
0.991531746,0.67
0.992488683,0.67
0.993144267,0.67
0.992168077,0.67
0.991823722,0.67
0.992488683,0.67
0.991518313,0.67
0.991504811,0.67
0.992477601,0.67
0.991187524,0.67
0.989899542,0.67
0.989260429,0.67
0.992144267,0.67
0.992144267,0.67
0.991504811,0.67
0.991836444,0.67
0.991504811,0.67
0.991504811,0.67
0.991173179,0.67
0.992156202,0.67
0.991187524,0.67
0.990856735,0.67
0.990871848,0.67
0.990871848,0.67
0.990228655,0.67
0.990525947,0.67
0.990541898,0.67
0.991187524,0.67
0.991823722,0.67
0.990541898,0.67
0.990211949,0.67
0.989588712,0.67
0.989899542,0.67
0.990541898,0.67
0.990856735,0.67
0.990211949,0.67
0.990525947,0.67
0.991173179,0.67
0.990856735,0.67
0.989882,0.67
0.990856735,0.67
0.990541898,0.67
0.991201797,0.67
0.991518313,0.67
0.990871848,0.67
0.991187524,0.67
0.990841546,0.67
0.991173179,0.67
0.991173179,0.67
0.991504811,0.67
0.991187524,0.67
0.990525947,0.67
0.989730157,0.67
0.990525947,0.67
0.990211949,0.67
0.989882,0.67
0.989570428,0.67
0.990856735,0.67
0.992156202,0.67
0.991491241,0.67
0.991491241,0.67
0.990856735,0.67
0.989882,0.67
0.989241314,0.67
0.991173179,0.67
0.991491241,0.67
0.991504811,0.67
0.990856735,0.67
0.992156202,0.67
0.991823722,0.67
0.991836444,0.67
0.991518313,0.67
0.991201797,0.67
0.991187524,0.67
0.989882,0.67
0.990856735,0.67
0.990704892,0.67
0.991173179,0.67
0.990509914,0.67
0.990525947,0.67
0.990211949,0.67
0.990541898,0.67
0.987300797,0.67
0.98698839,0.67
0.990856735,0.67
0.990211949,0.67
0.990541898,0.67
0.990211949,0.67
0.990841546,0.67
0.991810934,0.67
0.991491241,0.67
0.989882,0.67
0.990509914,0.67
0.987443734,0.67
0.987111253,0.67
0.986796584,0.67
0.986464951,0.67
0.986133319,0.67
0.985182189,0.67
0.986152727,0.67
0.986152727,0.67
0.986133319,0.67
0.986152727,0.67
0.985491149,0.67
0.984829572,0.67
0.984522291,0.67
0.984078256,0.67
0.985022051,0.67
0.983586371,0.67
0.983891973,0.67
0.985484848,0.67
0.984818182,0.67
0.983867502,0.67
0.983561184,0.67
0.942488054,0.640869565
0.942488054,0.640869565
0.871386735,0.5896
0.870896169,0.5896
0.871307911,0.5896
0.871141452,0.5896
0.8409587,0.566923077
0.807528041,0.545925926
0.807528041,0.545925926
0.782350345,0.526428571
0.785448798,0.526428571
0.785739312,0.526428571
0.762118279,0.508275862
0.762027945,0.508275862
0.74056316,0.491333333
0.740800431,0.491333333
0.740489596,0.491333333
0.720540454,0.475483871
0.720604073,0.475483871
0.702173955,0.460625
0.668746176,0.433529412
0.650884663,0.421142857
0.636859421,0.409444444
0.618588948,0.398378378
0.618485362,0.398378378
0.605806489,0.387894737
0.599830301,0.387894737
0.599856802,0.387894737
0.59486111,0.387894737
0.593395641,0.387894737
0.592008376,0.387894737
0.577106019,0.377948718
0.564832596,0.3685
0.563511656,0.3685
0.563582787,0.3685
0.409804136,0.350952381
0.528325585,0.342790698
0.525869282,0.342790698
0.521824809,0.342790698
0.521856418,0.342790698
0.520886772,0.342790698
0.520626714,0.342790698
0.521792681,0.342790698
0.521715388,0.342790698
0.521105707,0.342790698
0.511467001,0.335
0.502831407,0.327555556
0.502899245,0.327555556
0.502455869,0.327555556
0.502276805,0.327555556
0.502398174,0.327555556
0.502327241,0.327555556
0.482972092,0.313617021
0.484365013,0.313617021
0.484397468,0.313617021
0.48347779,0.313617021
0.483510901,0.313617021
0.4834363,0.313617021
0.483350176,0.313617021
0.482261264,0.313617021
0.482300513,0.313617021
0.481921172,0.313617021
0.482019001,0.313617021
0.481878939,0.313617021
0.481965653,0.313617021
0.482030169,0.313617021
0.481965653,0.313617021
0.481976801,0.313617021
0.481617675,0.313617021
0.480937938,0.313617021
0.48198796,0.313617021
0.481965653,0.313617021
0.481587153,0.313617021
0.48156489,0.313617021
0.481954516,0.313617021
0.999605662,0.313617021
0.999343103,0.313617021
0.999408792,0.313617021
0.997646921,0.313617021
0.997581629,0.313617021
0.997515972,0.313617021
0.997320063,0.313617021
0.997254472,0.313617021
0.992528,0.313617021
0.997646921,0.313617021
0.997515972,0.313617021
0.997515972,0.313617021
0.997319533,0.313617021
0.996992806,0.313617021
0.997121403,0.313617021
0.99699072,0.313617021
0.996859407,0.313617021
0.996597675,0.313617021
0.996401798,0.313617021
0.996336208,0.313617021
0.996334154,0.313617021
0.996138311,0.313617021
0.996165572,0.313617021
0.995969697,0.313617021
0.974552945,0.307083333
0.974611635,0.307083333
0.974486212,0.307083333
0.974263497,0.307083333
0.971080925,0.307083333
0.971292142,0.307083333
0.969707242,0.307083333
0.969488775,0.307083333
0.969184084,0.307083333
0.969058722,0.307083333
0.968845118,0.307083333
0.968661904,0.307083333
0.967380371,0.307083333
0.967438391,0.307083333
0.96737565,0.307083333
0.965885159,0.307083333
0.965428319,0.307083333
0.965664333,0.307083333
0.96553879,0.307083333
0.965297877,0.307083333
0.965287703,0.307083333
0.965014159,0.307083333
0.964768521,0.307083333
0.964517676,0.307083333
0.964454965,0.307083333
0.964512229,0.307083333
0.964329543,0.307083333
0.964318461,0.307083333
0.964135781,0.307083333
0.964073039,0.307083333
0.964250109,0.307083333
0.964073039,0.307083333
0.963770949,0.307083333
0.96341279,0.307083333
0.962191346,0.307083333
0.96108574,0.307083333
0.960840913,0.307083333
0.961746629,0.307083333
0.96167775,0.307083333
0.961489617,0.307083333
0.961370544,0.307083333
0.961119821,0.307083333
0.941560138,0.300816327
0.94132865,0.300816327
0.941037412,0.300816327
0.939894987,0.300816327
0.938773406,0.300816327
0.938551034,0.300816327
0.938593434,0.300816327
0.938672582,0.300816327
0.919829911,0.2948
0.918821721,0.2948
0.918591464,0.2948
0.920604754,0.2948
0.920339298,0.2948
0.92059614,0.2948
0.920585464,0.2948
0.92027294,0.2948
0.920262131,0.2948
0.92000768,0.2948
0.920043258,0.2948
0.920032347,0.2948
0.919974901,0.2948
0.919870996,0.2948
0.920078898,0.2948
0.919917455,0.2948
0.919652393,0.2948
0.919652393,0.2948
0.920057079,0.2948
0.919895504,0.2948
0.919630226,0.2948
0.919376613,0.2948
0.918997739,0.2948
0.918986386,0.2948
0.918734071,0.2948
0.918883101,0.2948
