baseline-sim, discover-sim
0.13,0.67
1,0.67
0.999329897,0.67
0.998997429,0.67
0.997333333,0.67
0.996352041,0.67
0.997333333,0.67
0.996352041,0.67
0.997994859,0.67
0.996675192,0.67
0.997333333,0.67
0.997333333,0.67
0.997333333,0.67
0.997,0.67
0.995688776,0.67
0.994720812,0.67
0.995357143,0.67
0.995357143,0.67
0.995357143,0.67
0.995357143,0.67
0.995688776,0.67
0.994707379,0.67
0.996,0.67
0.99502551,0.67
0.995357143,0.67
0.99601023,0.67
0.994707379,0.67
0.995677749,0.67
0.99437659,0.67
0.994707379,0.67
0.994390863,0.67
0.994075949,0.67
0.995677749,0.67
0.99601023,0.67
0.994209126,0.67
0.994209126,0.67
0.995677749,0.67
0.995038168,0.67
0.994707379,0.67
0.995677749,0.67
0.996333333,0.67
0.995677749,0.67
0.995677749,0.67
0.995677749,0.67
0.99502551,0.67
0.99502551,0.67
0.994707379,0.67
0.995677749,0.67
0.995688776,0.67
0.994720812,0.67
0.995357143,0.67
0.99502551,0.67
0.994707379,0.67
0.994405063,0.67
0.995038168,0.67
0.995688776,0.67
0.995677749,0.67
0.995357143,0.67
0.995677749,0.67
0.99502551,0.67
0.994707379,0.67
0.994707379,0.67
0.994707379,0.67
0.994707379,0.67
0.994707379,0.67
0.995345269,0.67
0.995177804,0.67
0.996333333,0.67
0.995038168,0.67
0.99502551,0.67
0.995677749,0.67
0.994539915,0.67
0.994223399,0.67
0.99502551,0.67
0.994209126,0.67
0.99502551,0.67
0.995345269,0.67
0.995666667,0.67
0.99502551,0.67
0.995177804,0.67
0.989400291,0.67
0.996,0.67
0.995677749,0.67
0.99502551,0.67
0.99502551,0.67
0.995666667,0.67
0.99502551,0.67
0.994707379,0.67
0.996,0.67
0.996,0.67
0.988427502,0.67
0.987794538,0.67
0.99502551,0.67
0.995357143,0.67
0.995357143,0.67
0.995038168,0.67
0.994223399,0.67
0.994858046,0.67
0.995677749,0.67
0.995357143,0.67
0.995012788,0.67
0.994362245,0.67
0.992573653,0.67
0.993199883,0.67
0.992555182,0.67
0.992722646,0.67
0.991751269,0.67
0.992391858,0.67
0.992704082,0.67
0.993035714,0.67
0.993350384,0.67
0.993666667,0.67
0.992352941,0.67
0.992666667,0.67
0.992352941,0.67
0.992352941,0.67
0.993017903,0.67
0.992685422,0.67
0.99173028,0.67
0.992040816,0.67
0.992061069,0.67
0.993953488,0.67
0.993298969,0.67
0.992982005,0.67
0.991666667,0.67
0.990714286,0.67
0.991666667,0.67
0.949153318,0.640869565
0.912815315,0.614166667
0.912815315,0.614166667
0.912815315,0.614166667
0.912274775,0.614166667
0.912955811,0.614166667
0.878806049,0.5896
0.878560302,0.5896
0.848201143,0.566923077
0.795029155,0.526428571
0.76842847,0.508275862
0.76842847,0.508275862
0.76851808,0.508275862
0.747112507,0.491333333
0.747186705,0.491333333
0.747186705,0.491333333
0.747424405,0.491333333
0.724271625,0.475483871
0.687956996,0.446666667
0.542019426,0.433529412
0.66429256,0.433529412
0.649294706,0.421142857
0.630658743,0.409444444
0.600801879,0.387894737
0.582281538,0.377948718
0.572608811,0.3685
0.572784122,0.3685
0.571133451,0.3685
0.569551036,0.3685
0.568274919,0.3685
0.566682249,0.3685
0.566903939,0.3685
0.563508567,0.3685
0.561370151,0.3685
0.559706725,0.3685
0.559611011,0.3685
0.556892857,0.3685
0.555470638,0.3685
0.545681097,0.359512195
0.545404077,0.359512195
0.543909923,0.359512195
0.543975245,0.359512195
0.543165485,0.359512195
0.541771476,0.359512195
0.520934815,0.342790698
0.521562946,0.342790698
0.510366242,0.335
0.509435137,0.335
0.499835696,0.327555556
0.498245574,0.327555556
0.499032919,0.327555556
0.491275991,0.320434783
0.490813391,0.320434783
0.49071584,0.320434783
0.490673055,0.320434783
0.490688033,0.320434783
0.490265873,0.320434783
0.490314886,0.320434783
0.490305851,0.320434783
0.489923004,0.320434783
0.489871377,0.320434783
0.489859127,0.320434783
0.489871377,0.320434783
0.489951242,0.320434783
0.489887307,0.320434783
0.489899595,0.320434783
0.489967269,0.320434783
0.489967269,0.320434783
0.489954945,0.320434783
0.489875032,0.320434783
0.489875032,0.320434783
0.489979605,0.320434783
0.489899595,0.320434783
0.999448568,0.320434783
0.999379968,0.320434783
0.999242585,0.320434783
0.995811178,0.320434783
0.999173729,0.320434783
0.999242585,0.320434783
0.998831306,0.320434783
0.999105347,0.320434783
0.998831924,0.320434783
0.999037037,0.320434783
0.99744022,0.320434783
0.995845847,0.320434783
0.999379639,0.320434783
0.999104399,0.320434783
0.999034995,0.320434783
0.998759936,0.320434783
0.996751515,0.320434783
0.995157106,0.320434783
0.99664369,0.320434783
0.996436903,0.320434783
0.995889413,0.320434783
0.994261969,0.320434783
0.994020913,0.320434783
0.973982248,0.313617021
0.973916559,0.313617021
0.973912175,0.313617021
0.97358811,0.313617021
0.970443062,0.313617021
0.969014398,0.313617021
0.968751506,0.313617021
0.967258135,0.313617021
0.967005201,0.313617021
0.967126689,0.313617021
0.967060966,0.313617021
0.966745287,0.313617021
0.966800875,0.313617021
0.966482528,0.313617021
0.946147773,0.307083333
0.946132619,0.307083333
0.945826342,0.307083333
0.945638027,0.307083333
0.945457619,0.307083333
0.945277385,0.307083333
0.925895598,0.300816327
0.926079339,0.300816327
0.927155056,0.300816327
0.925592634,0.300816327
0.926975,0.300816327
0.926904919,0.300816327
0.909570369,0.2948
0.909501129,0.2948
0.908144738,0.2948
0.908144738,0.2948
0.906797992,0.2948
0.906534548,0.2948
0.906419707,0.2948
0.906247445,0.2948
0.90664733,0.2948
0.906391794,0.2948
0.906197933,0.2948
0.906288769,0.2948
0.904880127,0.2948
0.904650141,0.2948
0.904535147,0.2948
0.904510509,0.2948
0.904247664,0.2948
0.904222771,0.2948
0.904107676,0.2948
0.903915266,0.2948
0.903698053,0.2948
0.903730194,0.2948
0.903672697,0.2948
0.903455496,0.2948
0.90344271,0.2948
0.903225611,0.2948
0.903314869,0.2948
0.903155227,0.2948
0.903186915,0.2948
0.902912214,0.2948
0.90275275,0.2948
0.902535955,0.2948
0.902549136,0.2948
0.902726534,0.2948
0.902452037,0.2948
0.902191128,0.2948
0.902032123,0.2948
0.9018428,0.2948
0.90195754,0.2948
0.901944116,0.2948
0.901930679,0.2948
0.901961243,0.2948
0.898466445,0.2948
0.898699887,0.2948
0.898294183,0.2948
0.898236763,0.2948
0.901326472,0.2948
0.901408142,0.2948
0.901206184,0.2948
0.901337069,0.2948
0.901495616,0.2948
0.90172855,0.2948
0.90181654,0.2948
0.901599883,0.2948
0.901484787,0.2948
0.901515002,0.2948
0.901413528,0.2948
0.901369692,0.2948
0.901399805,0.2948
0.901457403,0.2948
0.901413528,0.2948
0.901312145,0.2948
0.901399805,0.2948
