model,GED,CNE,Jaccard,W-GED,LCS,GED-T,CNE-T,Jaccard-T,W-GED-T,LCS-T
Process101,0.991304348,0.991304348,0.965217391,0.991731111,0.71,0.991304348,0.991304348,0.965217391,0.991731111,0.645
Process101,0.991304348,0.991304348,0.965217391,0.991731111,0.785,0.991304348,0.991304348,0.965217391,0.991731111,0.715
Process101,0.991304348,0.991304348,0.965217391,0.991731111,0.695,0.991304348,0.991304348,0.965217391,0.991731111,0.755
Process101,0.886956522,0.886956522,0.910070332,0.981157778,0.69,0.886956522,0.886956522,0.910070332,0.981157778,0.735
Process101,0.991304348,0.991304348,0.965217391,0.991731111,0.735,0.991304348,0.991304348,0.965217391,0.991731111,0.765
Process101,0.991304348,0.991304348,1,0.998197727,0.76,0.991304348,0.991304348,1,0.998197727,0.76
Process101,0.991304348,0.991304348,0.965217391,0.991731111,0.695,0.991304348,0.991304348,0.965217391,0.991731111,0.715
Process101,0.991150442,0.991150442,0.992857143,0.999168182,0.73,0.991150442,0.991150442,0.992857143,0.999168182,0.74
Process101,0.991150442,0.991150442,0.992857143,0.999168182,0.755,0.991150442,0.991150442,0.992857143,0.999168182,0.695
Process101,0.991304348,0.991304348,0.996666667,0.999029545,0.67,0.991304348,0.991304348,0.996666667,0.999029545,0.62
Process101,0.972972973,0.972972973,0.952922078,0.989502326,0.74,0.972972973,0.972972973,0.952922078,0.989502326,0.7
Process101,0.973913043,0.973913043,0.951581028,0.990104444,0.71,0.973913043,0.973913043,0.951581028,0.990104444,0.71
Process101,0.991150442,0.991150442,0.992857143,0.999168182,0.745,0.991150442,0.991150442,0.992857143,0.999168182,0.665
Process101,0.94017094,0.94017094,0.936277174,0.986444444,0.58,0.94017094,0.94017094,0.936277174,0.986444444,0.635
Process101,0.991150442,0.991150442,0.963636364,0.991346512,0.785,0.991150442,0.991150442,0.963636364,0.991346512,0.77
Process101,0.991150442,0.991150442,0.992857143,0.999168182,0.68,0.991150442,0.991150442,0.992857143,0.999168182,0.695
Process101,0.991304348,0.991304348,0.993181818,0.999168182,0.76,0.991304348,0.991304348,0.993181818,0.999168182,0.66
Process101,0.956521739,0.956521739,0.939130435,0.988477778,0.705,0.956521739,0.956521739,0.939130435,0.988477778,0.62
Process101,0.991304348,0.991304348,1,0.999029545,0.75,0.991304348,0.991304348,1,0.999029545,0.68
Process101,0.956521739,0.956521739,0.939130435,0.988477778,0.74,0.956521739,0.956521739,0.939130435,0.988477778,0.675
