model,Jac, JacTrim
Process101,0.949918478,0.995333333
Process101,1,0.949918478
Process101,0.949918478,0.969545455
Process101,0.997142857,0.995
Process101,0.961688312,0.87
Process101,0.942934783,0.963043478
Process101,0.87,0.96541502
Process101,0.946536232,0.970869565
Process101,0.934869565,0.93
Process101,0.970869565,0.970869565
Process101,0.995333333,0.970869565
Process101,0.949918478,0.949918478
Process101,0.969545455,0.997142857
Process101,0.995,0.337247863
Process101,0.87,0.337247863
Process101,0.963043478,0.33012709
Process101,0.96541502,0.32147068
Process101,0.970869565,0.314742063
Process101,0.93,0.308289614
Process101,0.970869565,0.308289614
Process101,0.970869565,0.308162764
Process101,0.949918478,0.308289614
Process101,0.997142857,0.308162764
Process101,0.964545455,0.302146437
Process101,0.946536232,0.302146437
Process101,0.942934783,0.302146437
Process101,0.940326087,0.314556621
Process101,0.901884603,0.308162764
Process101,0.875181704,0.302096651
Process101,0.873038847,0.308162764
Process101,0.87089599,0.306799128
Process101,0.846329323,0.301975439
Process101,0.776329323,0.308112977
Process101,0.774186466,0.302146437
Process101,0.749112732,0.302146437
Process101,0.619112732,
Process101,0.588799826,
Process101,0.567651398,
Process101,0.567140034,
Process101,0.547491548,
Process101,0.53054902,
Process101,0.513312442,
Process101,0.511598157,
Process101,0.504753712,
Process101,0.489894841,
Process101,0.489339286,
Process101,0.474482759,
Process101,0.475,
Process101,0.461862745,
Process101,0.44947619,
Process101,0.44947619,
Process101,0.44947619,
Process101,0.437260536,
Process101,0.420721333,
Process101,0.420721333,
Process101,0.410237691,
Process101,0.400291672,
Process101,0.410912755,
Process101,0.383787249,
Process101,0.386413851,
Process101,0.386413851,
Process101,0.36585473,
Process101,0.373616925,
Process101,0.364668489,
Process101,0.352290698,
Process101,0.344444444,
Process101,0.344636752,
Process101,0.344692308,
Process101,0.337247863,
Process101,0.337247863,
Process101,0.33012709,
Process101,0.32147068,
Process101,0.314742063,
Process101,0.308289614,
Process101,0.308289614,
Process101,0.308162764,
Process101,0.308289614,
Process101,0.308162764,
Process101,0.302146437,
Process101,0.302146437,
Process101,0.302146437,
Process101,0.314556621,
Process101,0.308162764,
Process101,0.302096651,
Process101,0.308162764,
Process101,0.306799128,
Process101,0.301975439,
Process101,0.308112977,
Process101,0.302146437,
Process101,0.302146437,
Process101,0.302146437,
Process101,0.294489294,
Process101,0.302146437,
Process101,0.314609173,
Process101,0.314609173,
Process101,0.302146437,
Process101,0.306270872,
Process101,0.300691892,
Process101,0.308289614,
Process101,0.308041552,
