sep=,
model,GED,CNE,Jaccard,W-GED,LCS,GED-T,CNE-T,Jaccard-T,W-GED-T,LCS-T
Process101,0.991304347826087,0.991304347826087,1.0,0.9990295454545455,0.69,0.991304347826087,0.991304347826087,1.0,0.9990295454545455,0.74
Process101,0.8695652173913043,0.8695652173913043,0.8918840579710146,0.9800733333333334,0.74,0.8695652173913043,0.8695652173913043,0.8918840579710146,0.9800733333333334,0.7849999999999999
Process101,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.6300000000000001,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.72
Process101,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.705,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.7450000000000001
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.7649999999999999,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.815
Process101,0.9739130434782609,0.9739130434782609,0.9515810276679841,0.9901044444444445,0.6799999999999999,0.9739130434782609,0.9739130434782609,0.9515810276679841,0.9901044444444445,0.7449999999999999
Process101,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.7,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.69
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.76,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.7250000000000001
Process101,0.991304347826087,0.991304347826087,1.0,0.9990295454545455,0.69,0.991304347826087,0.991304347826087,1.0,0.9990295454545455,0.77
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.7,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.695
Process101,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.665,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.69
Process101,0.9391304347826087,0.9391304347826087,0.9390810276679842,0.9863088888888889,0.625,0.9391304347826087,0.9391304347826087,0.9390810276679842,0.9863088888888889,0.665
Process101,0.9911504424778761,0.9911504424778761,0.9636363636363636,0.991346511627907,0.66,0.9911504424778761,0.9911504424778761,0.9636363636363636,0.991346511627907,0.7050000000000001
Process101,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.6399999999999999,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.6800000000000002
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.68,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.69
Process101,0.991304347826087,0.991304347826087,0.9931818181818182,0.9991681818181818,0.175,0.991304347826087,0.991304347826087,0.9931818181818182,0.9991681818181818,0.365
Process101,0.991304347826087,0.991304347826087,1.0,0.9990295454545455,0.77,0.991304347826087,0.991304347826087,1.0,0.9990295454545455,0.79
Process101,0.9565217391304348,0.9565217391304348,0.9391304347826087,0.9884777777777778,0.76,0.9565217391304348,0.9565217391304348,0.9391304347826087,0.9884777777777778,0.69
Process101,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.725,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.7100000000000001
Process101,0.991304347826087,0.991304347826087,1.0,0.9990295454545455,0.6649999999999999,0.991304347826087,0.991304347826087,1.0,0.9990295454545455,0.715
Process101,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.6849999999999999,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.7550000000000001
Process101,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9990295454545455,0.54,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9990295454545455,0.6799999999999999
Process101,0.991304347826087,0.991304347826087,0.9966666666666667,0.9990295454545455,0.625,0.991304347826087,0.991304347826087,0.9966666666666667,0.9990295454545455,0.675
Process101,0.9391304347826087,0.9391304347826087,0.9390810276679842,0.9863088888888889,0.6799999999999999,0.9391304347826087,0.9391304347826087,0.9390810276679842,0.9863088888888889,0.595
Process101,0.9217391304347826,0.9217391304347826,0.9210507246376811,0.9849533333333333,0.7,0.9217391304347826,0.9217391304347826,0.9210507246376811,0.9849533333333333,0.74
Process101,0.991304347826087,0.991304347826087,1.0,0.9981977272727273,0.7150000000000001,0.991304347826087,0.991304347826087,1.0,0.9981977272727273,0.6799999999999999
Process101,0.972972972972973,0.972972972972973,0.952922077922078,0.9895023255813954,0.7150000000000001,0.972972972972973,0.972972972972973,0.952922077922078,0.9895023255813954,0.7749999999999999
Process101,0.991304347826087,0.991304347826087,0.9931818181818182,0.9991681818181818,0.75,0.991304347826087,0.991304347826087,0.9931818181818182,0.9991681818181818,0.725
Process101,0.9655172413793104,0.9655172413793104,0.9558423913043479,0.9888844444444445,0.7049999999999998,0.9655172413793104,0.9655172413793104,0.9558423913043479,0.9888844444444445,0.655
Process101,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9990295454545455,0.6900000000000001,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9990295454545455,0.695
Process101,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.685,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.7350000000000001
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.745,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.755
Process101,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.6699999999999999,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.66
Process101,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.7100000000000001,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.71
Process101,0.991304347826087,0.991304347826087,0.9931818181818182,0.9991681818181818,0.645,0.991304347826087,0.991304347826087,0.9931818181818182,0.9991681818181818,0.595
Process101,0.991304347826087,0.991304347826087,1.0,0.9990295454545455,0.7600000000000001,0.991304347826087,0.991304347826087,1.0,0.9990295454545455,0.7
Process101,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.715,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.77
Process101,0.991304347826087,0.991304347826087,1.0,0.9981977272727273,0.71,0.991304347826087,0.991304347826087,1.0,0.9981977272727273,0.7150000000000001
Process101,0.9217391304347826,0.9217391304347826,0.9210507246376811,0.9849533333333333,0.7250000000000001,0.9217391304347826,0.9217391304347826,0.9210507246376811,0.9849533333333333,0.685
Process101,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.7050000000000001,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.7250000000000001
Process101,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9990295454545455,0.615,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9990295454545455,0.6500000000000001
Process101,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.675,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.72
Process101,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.695,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.76
Process101,0.972972972972973,0.972972972972973,0.952922077922078,0.9895023255813954,0.565,0.972972972972973,0.972972972972973,0.952922077922078,0.9895023255813954,0.575
Process101,0.9565217391304348,0.9565217391304348,0.9449143610013175,0.9882066666666667,0.7450000000000001,0.9565217391304348,0.9565217391304348,0.9449143610013175,0.9882066666666667,0.6950000000000001
Process101,0.9565217391304348,0.9565217391304348,0.9391304347826087,0.9884777777777778,0.7050000000000001,0.9565217391304348,0.9565217391304348,0.9391304347826087,0.9884777777777778,0.725
Process101,0.991304347826087,0.991304347826087,1.0,0.9981977272727273,0.7249999999999999,0.991304347826087,0.991304347826087,1.0,0.9981977272727273,0.7300000000000001
Process101,0.9655172413793104,0.9655172413793104,0.9558423913043479,0.9888844444444445,0.64,0.9655172413793104,0.9655172413793104,0.9558423913043479,0.9888844444444445,0.7249999999999999
Process101,0.991304347826087,0.991304347826087,1.0,0.9981977272727273,0.8,0.991304347826087,0.991304347826087,1.0,0.9981977272727273,0.76
Process101,0.9911504424778761,0.9911504424778761,0.9636363636363636,0.991346511627907,0.685,0.9911504424778761,0.9911504424778761,0.9636363636363636,0.991346511627907,0.76
Process101,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.71,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.765
Process101,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.735,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.7049999999999998
Process101,0.9565217391304348,0.9565217391304348,0.9391304347826087,0.9884777777777778,0.6799999999999999,0.9565217391304348,0.9565217391304348,0.9391304347826087,0.9884777777777778,0.7000000000000002
Process101,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.6799999999999999,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.7250000000000001
Process101,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.71,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.705
Process101,0.9391304347826087,0.9391304347826087,0.932463768115942,0.98658,0.6749999999999999,0.9391304347826087,0.9391304347826087,0.932463768115942,0.98658,0.7100000000000001
Process101,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9990295454545455,0.625,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9990295454545455,0.7150000000000001
Process101,0.972972972972973,0.972972972972973,0.952922077922078,0.9895023255813954,0.575,0.972972972972973,0.972972972972973,0.952922077922078,0.9895023255813954,0.55
Process101,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.705,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.675
Process101,0.991304347826087,0.991304347826087,1.0,0.9990295454545455,0.71,0.991304347826087,0.991304347826087,1.0,0.9990295454545455,0.7050000000000001
