model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS
Process25,0,0,0,0,0,0,0,0,1,1,1,1,0.805
Process25,0,0,0,0,0,0,1,1,0.611111111,0.611111111,0.795908748,0.794117647,0.585
Process25,0,0,0,0,0,0,2,2,0.603773585,0.603773585,0.787019647,0.793103448,0.65
Process25,0,0,0,0,0,0,3,3,0.339622642,0.339622642,0.708491228,0.62962963,0.5175
Process25,0,0,0,0,0,1,0,1,0.990654206,0.990654206,0.99125,0.995535714,0.7675
Process25,0,0,0,0,0,1,1,2,0.653465347,0.653465347,0.803333333,0.828431373,0.715
Process25,0,0,0,0,0,1,2,3,0.356435644,0.356435644,0.713903134,0.656084656,0.52
Process25,0,0,0,0,0,1,3,4,0.383838384,0.383838384,0.717166667,0.678947368,0.4825
Process25,0,0,0,0,0,2,0,2,0.981132075,0.981132075,0.987157895,0.99103139,0.615
Process25,0,0,0,0,0,2,1,3,0.716981132,0.716981132,0.83282891,0.85645933,0.6275
Process25,0,0,0,0,0,2,2,4,0.54,0.54,0.769476285,0.767676768,0.31
Process25,0,0,0,0,0,2,3,5,0.693877551,0.693877551,0.824969475,0.853658537,0.73
Process25,0,0,0,0,0,3,0,3,0.971428571,0.971428571,0.978407895,0.986486486,0.6125
Process25,0,0,0,0,0,3,1,4,0.547368421,0.547368421,0.765281385,0.781725888,0.44
Process25,0,0,0,0,0,3,2,5,0.4,0.4,0.724201681,0.671875,0.53
Process25,0,0,0,0,0,3,3,6,0.466019417,0.466019417,0.742022193,0.717948718,0.2175
Process25,0,0,0,0,1,0,0,1,0.990825688,0.990825688,0.992222222,0.995555556,0.7925
Process25,0,0,0,0,1,0,1,2,0.58490566,0.58490566,0.780533333,0.782178218,0.685
Process25,0,0,0,0,1,0,2,3,0.58490566,0.58490566,0.781687179,0.782178218,0.475
Process25,0,0,0,0,1,0,3,4,0.336842105,0.336842105,0.703208698,0.663101604,0.45
Process25,0,0,0,0,1,1,0,2,0.981481481,0.981481481,0.987703349,0.991071429,0.7875
Process25,0,0,0,0,1,1,1,3,0.58,0.58,0.77729097,0.79,0.5125
Process25,0,0,0,0,1,1,2,4,0.648148148,0.648148148,0.807138695,0.815533981,0
Process25,0,0,0,0,1,1,3,5,0.425531915,0.425531915,0.728610997,0.717277487,0.4375
Process25,0,0,0,0,1,2,0,3,0.971962617,0.971962617,0.978953349,0.986547085,0.7775
