numOfChanges,GED,LCS,BP,edit
0,1,0.883888889,1,
1,0.98245614,0.883333333,1,addConstraint
2,0.915254237,0.8375,1,insertActivitySerial
3,0.852459016,0.798111111,0.818181818,insertActivitySerial
4,0.75,0.773383838,0.818181818,insertActivitySerial
5,0.68852459,0.702222222,0.8,deleteActivity
6,0.724137931,0.666666667,0.844444444,deleteActivity
7,0.7,0.597166667,0.511111111,insertActivitySerial
8,0.666666667,0.552487374,0.511111111,insertActivitySerial
9,0.64516129,0.554179293,0.511111111,removeConstraint
10,0.580645161,0.532424242,0.611111111,replaceActivity
11,0.571428571,0.525512821,0.611111111,insertActivityParallel
12,0.548387097,0.50866453,0.611111111,removeConstraint
13,0.53968254,0.513000611,0.611111111,insertActivityParallel
14,0.53125,0.451468254,0.611111111,insertActivityParallel
15,0.507936508,0.497984127,0.611111111,removeConstraint
16,0.5,0.487583333,0.611111111,insertActivityParallel
17,0.492307692,0.449201389,0.611111111,addConstraint
18,0.484848485,0.450206349,0.444444444,addConstraint
19,0.47761194,0.438923611,0.444444444,insertActivityParallel
20,0.454545455,0.395958333,0.388888889,removeConstraint
