sep=,
numOfChanges,GED,LCS,BP,edit
0,1.0,0.8960000000000008,1.0
1,0.9824561403508771,0.8925000000000005,1.0,addConstraint
2,0.9333333333333333,0.8518181818181818,1.0,insertActivitySerial
3,0.9375,0.792272727272727,0.8106060606060606,insertActivitySerial
4,0.8985507246376812,0.825454545454545,0.7243589743589743,insertActivitySerial
5,0.9565217391304348,0.8285606060606056,0.9871794871794872,deleteActivity
6,0.9523809523809523,0.8149999999999998,0.9393939393939394,deleteActivity
7,0.935483870967742,0.7175000000000007,0.8484848484848485,insertActivitySerial
8,0.8955223880597015,0.7748636363636361,0.9807692307692307,insertActivitySerial
9,0.9855072463768116,0.8172727272727265,0.978021978021978,removeConstraint
10,0.8823529411764706,0.7990909090909089,1.0,replaceActivity
11,0.9855072463768116,0.7963636363636362,1.0,insertActivityParallel
12,0.9855072463768116,0.7870833333333336,1.0,removeConstraint
13,0.9855072463768116,0.7615705128205128,0.9904761904761905,insertActivityParallel
14,0.9859154929577465,0.7312637362637362,0.9833333333333333,insertActivityParallel
15,0.9859154929577465,0.7414285714285715,0.9779411764705882,removeConstraint
16,0.9859154929577465,0.6984523809523807,0.9889705882352942,insertActivityParallel
17,0.9863013698630136,0.7093333333333331,0.9901960784313726,addConstraint
18,0.9866666666666667,0.6622142857142859,0.8856209150326797,addConstraint
19,0.987012987012987,0.6720952380952383,0.9934640522875817,insertActivityParallel
20,0.987012987012987,0.6033333333333335,0.9736842105263158,removeConstraint
