model;addActSerial;addActParallel;deleteAct;replaceAct;addConst;removeConst;swapAct;GED; CNE; Jaccard
Process101;0;0;0;0;0;0;0;1.0;1.0;1.0
Process101;0;0;0;0;0;0;1;0.9613636363636364;0.8421052631578947;0.9256842105263159
Process101;0;0;0;0;0;0;2;0.9386363636363636;0.8070175438596491;0.8995943204868154
Process101;0;0;0;0;0;0;3;0.9113636363636364;0.6666666666666666;0.8640953716690043
Process101;0;0;0;0;0;1;0;0.9965909090909091;0.9911504424778761;0.9928571428571429
Process101;0;0;0;0;0;1;1;0.9738636363636364;0.9026548672566371;0.946875
Process101;0;0;0;0;0;1;2;0.946590909090909;0.8141592920353983;0.9055555555555556
Process101;0;0;0;0;0;1;3;0.9170454545454545;0.6902654867256637;0.8686363636363637
Process101;0;0;0;0;0;2;0;0.9954545454545455;0.9821428571428571;0.9892857142857143
Process101;0;0;0;0;0;2;1;0.9613636363636364;0.875;0.9275
Process101;0;0;0;0;0;2;2;0.9318181818181819;0.75;0.8856624319419238
Process101;0;0;0;0;0;2;3;0.9295454545454546;0.7321428571428571;0.8809523809523809
Process101;0;0;0;0;0;3;0;0.9897727272727272;0.972972972972973;0.9785714285714286
Process101;0;0;0;0;0;3;1;0.9306818181818182;0.7747747747747747;0.8863083164300203
Process101;0;0;0;0;0;3;2;0.9511363636363637;0.7927927927927928;0.9075000000000001
Process101;0;0;0;0;0;3;3;0.9238636363636363;0.7387387387387387;0.8754083484573503
Process101;0;0;0;0;1;0;0;1.0;0.991304347826087;1.0
Process101;0;0;0;0;1;0;1;0.9568181818181818;0.8695652173913043;0.9266666666666667
Process101;0;0;0;0;1;0;2;0.9431818181818182;0.8;0.9027777777777778
Process101;0;0;0;0;1;0;3;0.9295454545454546;0.7304347826086957;0.8839080459770116
Process101;0;0;0;0;1;1;0;0.9965909090909091;0.9824561403508771;0.9928571428571429
Process101;0;0;0;0;1;1;1;0.9852272727272727;0.9122807017543859;0.9657754010695188
Process101;0;0;0;0;1;1;2;0.9215909090909091;0.7192982456140351;0.875
