sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapAct,GED, CNE, Jaccard
Process101,0,0,0,0,0,0,0,0.9841269841269844,1.0,1.0
Process101,0,0,0,0,0,0,1,0.9761904761904764,0.8596491228070176,0.9246606334841629
Process101,0,0,0,0,0,0,2,0.8373015873015877,0.8771929824561403,0.9298076923076923
Process101,0,0,0,0,0,0,3,0.7460317460317464,0.7719298245614035,0.8909255898366607
Process101,0,0,0,0,0,1,0,0.9246031746031751,0.9911504424778761,0.9928571428571429
Process101,0,0,0,0,0,1,1,0.8095238095238101,0.9026548672566371,0.9393333333333334
Process101,0,0,0,0,0,1,2,0.9722222222222222,0.7433628318584071,0.878225806451613
Process101,0,0,0,0,0,1,3,0.7579365079365086,0.7256637168141593,0.875
Process101,0,0,0,0,0,2,0,0.9246031746031749,0.9821428571428571,0.9857142857142858
Process101,0,0,0,0,0,2,1,0.9523809523809529,0.875,0.9389705882352941
Process101,0,0,0,0,0,2,2,0.7500000000000006,0.8214285714285714,0.9020689655172414
Process101,0,0,0,0,0,2,3,0.6746031746031752,0.6785714285714286,0.8596875
Process101,0,0,0,0,0,3,0,0.9246031746031751,0.972972972972973,0.9821428571428572
Process101,0,0,0,0,0,3,1,0.9087301587301592,0.918918918918919,0.9651260504201682
Process101,0,0,0,0,0,3,2,0.9246031746031751,0.7747747747747747,0.8932748538011697
Process101,0,0,0,0,0,3,3,0.6785714285714293,0.6972477064220184,0.8640517241379311
Process101,0,0,0,0,1,0,0,0.9404761904761907,0.991304347826087,1.0
Process101,0,0,0,0,1,0,1,0.928571428571429,0.9043478260869565,0.942625
Process101,0,0,0,0,1,0,2,0.8888888888888894,0.7652173913043478,0.8877777777777778
Process101,0,0,0,0,1,0,3,0.8253968253968258,0.7478260869565218,0.8916666666666667
Process101,0,0,0,0,1,1,0,0.9603174603174607,0.9911504424778761,0.9964285714285714
Process101,0,0,0,0,1,1,1,0.9285714285714289,0.9122807017543859,0.9548913043478261
