sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapAct,GED
Process101,0,0,0,0,0,0,0,0.5266666666666666
Process101,0,0,0,0,0,0,1,0.45666666666666667
Process101,0,0,0,0,0,0,2,0.48333333333333334
Process101,0,0,0,0,0,0,3,0.4333333333333334
Process101,0,0,0,0,0,1,0,0.4833333333333333
Process101,0,0,0,0,0,1,1,0.4433333333333333
Process101,0,0,0,0,0,1,2,0.42666666666666675
Process101,0,0,0,0,0,1,3,0.39333333333333337
Process101,0,0,0,0,0,2,0,0.45999999999999996
Process101,0,0,0,0,0,2,1,0.42333333333333334
Process101,0,0,0,0,0,2,2,0.45333333333333337
Process101,0,0,0,0,0,2,3,0.4600000000000001
Process101,0,0,0,0,0,3,0,0.44666666666666677
Process101,0,0,0,0,0,3,1,0.4033333333333333
Process101,0,0,0,0,0,3,2,0.4
Process101,0,0,0,0,0,3,3,0.45999999999999996
Process101,0,0,0,0,1,0,0,0.47333333333333333
Process101,0,0,0,0,1,0,1,0.4600000000000001
Process101,0,0,0,0,1,0,2,0.4066666666666666
Process101,0,0,0,0,1,0,3,0.45333333333333337
Process101,0,0,0,0,1,1,0,0.4633333333333333
Process101,0,0,0,0,1,1,1,0.47
Process101,0,0,0,0,1,1,2,0.4366666666666667
Process101,0,0,0,0,1,1,3,0.41000000000000003
Process101,0,0,0,0,1,2,0,0.4766666666666667
Process101,0,0,0,0,1,2,1,0.4566666666666668
Process101,0,0,0,0,1,2,2,0.4533333333333333
Process101,0,0,0,0,1,2,3,0.33666666666666667
Process101,0,0,0,0,1,3,0,0.44666666666666666
Process101,0,0,0,0,1,3,1,0.39333333333333337
Process101,0,0,0,0,1,3,2,0.43333333333333335
Process101,0,0,0,0,1,3,3,0.4333333333333334
Process101,0,0,0,0,2,0,0,0.4733333333333334
Process101,0,0,0,0,2,0,1,0.4466666666666667
Process101,0,0,0,0,2,0,2,0.45666666666666667
Process101,0,0,0,0,2,0,3,0.44
Process101,0,0,0,0,2,1,0,0.45666666666666667
Process101,0,0,0,0,2,1,1,0.49333333333333335
Process101,0,0,0,0,2,1,2,0.44333333333333336
Process101,0,0,0,0,2,1,3,0.44999999999999996
Process101,0,0,0,0,2,2,0,0.49000000000000005
Process101,0,0,0,0,2,2,1,0.43666666666666665
Process101,0,0,0,0,2,2,2,0.4766666666666668
Process101,0,0,0,0,2,2,3,0.3333333333333333
Process101,0,0,0,0,2,3,0,0.48
Process101,0,0,0,0,2,3,1,0.42999999999999994
Process101,0,0,0,0,2,3,2,0.45333333333333337
Process101,0,0,0,0,2,3,3,0.43999999999999995
Process101,0,0,0,0,3,0,0,0.4433333333333333
Process101,0,0,0,0,3,0,1,0.33333333333333337
Process101,0,0,0,0,3,0,2,0.4766666666666667
Process101,0,0,0,0,3,0,3,0.47
Process101,0,0,0,0,3,1,0,0.4533333333333333
Process101,0,0,0,0,3,1,1,0.4
Process101,0,0,0,0,3,1,2,0.32666666666666666
Process101,0,0,0,0,3,1,3,0.4033333333333333
Process101,0,0,0,0,3,2,0,0.3733333333333333
Process101,0,0,0,0,3,2,1,0.45999999999999996
Process101,0,0,0,0,3,2,2,0.4766666666666667
Process101,0,0,0,0,3,2,3,0.4600000000000001
Process101,0,0,0,0,3,3,0,0.45666666666666667
Process101,0,0,0,0,3,3,1,0.43999999999999995
Process101,0,0,0,0,3,3,2,0.41000000000000003
Process101,0,0,0,0,3,3,3,0.43333333333333335
Process101,0,0,0,1,0,0,0,0.4566666666666668
Process101,0,0,0,1,0,0,1,0.45000000000000007
Process101,0,0,0,1,0,0,2,0.41666666666666663
Process101,0,0,0,1,0,0,3,0.41333333333333333
Process101,0,0,0,1,0,1,0,0.4266666666666667
Process101,0,0,0,1,0,1,1,0.43000000000000005
