sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,GED
Process101,0,0,0,0,0,0,0.5293333333333337
Process101,0,0,0,0,0,1,0.5086666666666666
Process101,0,0,0,0,0,2,0.514
Process101,0,0,0,0,0,3,0.5186666666666666
Process101,0,0,0,0,1,0,0.5213333333333336
Process101,0,0,0,0,1,1,0.5220000000000002
Process101,0,0,0,0,1,2,0.516
Process101,0,0,0,0,1,3,0.524666666666667
Process101,0,0,0,0,2,0,0.5320000000000003
Process101,0,0,0,0,2,1,0.5086666666666666
Process101,0,0,0,0,2,2,0.5140000000000002
Process101,0,0,0,0,2,3,0.5053333333333334
Process101,0,0,0,0,3,0,0.5206666666666668
Process101,0,0,0,0,3,1,0.5033333333333334
Process101,0,0,0,0,3,2,0.5213333333333334
Process101,0,0,0,0,3,3,0.5106666666666668
Process101,0,0,0,1,0,0,0.5173333333333332
Process101,0,0,0,1,0,1,0.49999999999999994
Process101,0,0,0,1,0,2,0.5013333333333332
Process101,0,0,0,1,0,3,0.48066666666666635
Process101,0,0,0,1,1,0,0.49600000000000005
Process101,0,0,0,1,1,1,0.5200000000000002
Process101,0,0,0,1,1,2,0.5013333333333333
Process101,0,0,0,1,1,3,0.4826666666666666
Process101,0,0,0,1,2,0,0.506
Process101,0,0,0,1,2,1,0.506
Process101,0,0,0,1,2,2,0.49533333333333307
Process101,0,0,0,1,2,3,0.492
Process101,0,0,0,1,3,0,0.5026666666666666
Process101,0,0,0,1,3,1,0.5006666666666665
Process101,0,0,0,1,3,2,0.5153333333333335
Process101,0,0,0,1,3,3,0.4553333333333332
Process101,0,0,0,2,0,0,0.508
Process101,0,0,0,2,0,1,0.4893333333333333
Process101,0,0,0,2,0,2,0.47199999999999986
Process101,0,0,0,2,0,3,0.4499999999999997
Process101,0,0,0,2,1,0,0.47666666666666657
Process101,0,0,0,2,1,1,0.4759999999999997
Process101,0,0,0,2,1,2,0.48599999999999993
Process101,0,0,0,2,1,3,0.47066666666666657
Process101,0,0,0,2,2,0,0.4899999999999999
Process101,0,0,0,2,2,1,0.3899999999999999
Process101,0,0,0,2,2,2,0.4893333333333332
Process101,0,0,0,2,2,3,0.46599999999999975
Process101,0,0,0,2,3,0,0.4946666666666665
Process101,0,0,0,2,3,1,0.4933333333333332
Process101,0,0,0,2,3,2,0.4906666666666666
