sep=,
model,mutations,GED
Process101,0,0.20899999999999982
Process101,1,0.22899999999999981
Process101,2,0.2163333333333331
Process101,3,0.25233333333333313
Process101,4,0.2163333333333331
Process101,5,0.1859999999999998
Process101,6,0.18699999999999978
Process101,7,0.22066666666666648
Process101,8,0.23066666666666644
Process101,9,0.21633333333333316
Process101,10,0.2336666666666665
Process101,11,0.21466666666666645
Process101,12,0.17433333333333312
Process101,13,0.17833333333333312
Process101,14,0.23466666666666647
Process101,15,0.22733333333333308
Process101,16,0.18533333333333318
Process101,17,0.15599999999999986
Process101,18,0.2086666666666665
Process101,19,0.24999999999999978
Process101,20,0.1926666666666664
Process101,21,0.1956666666666664
Process101,22,0.2306666666666664
Process101,23,0.22299999999999978
Process101,24,0.2176666666666665
Process101,25,0.24966666666666648
Process101,26,0.2159999999999998
Process101,27,0.1996666666666664
Process101,28,0.22566666666666646
Process101,29,0.2743333333333331
Process101,30,0.2183333333333331
Process101,31,0.18066666666666648
Process101,32,0.19833333333333314
Process101,33,0.23199999999999982
Process101,34,0.23966666666666644
Process101,35,0.21233333333333315
Process101,36,0.20433333333333314
Process101,37,0.2159999999999998
Process101,38,0.2173333333333331
Process101,39,0.24999999999999972
Process101,40,0.23266666666666652
Process101,41,0.24233333333333315
Process101,42,0.26199999999999973
Process101,43,0.22166666666666648
Process101,44,0.20533333333333317
Process101,45,0.18433333333333315
Process101,46,0.18733333333333313
Process101,47,0.21066666666666645
Process101,48,0.22699999999999984
Process101,49,0.20233333333333314
Process101,50,0.21499999999999986
Process101,51,0.20766666666666644
Process101,52,0.2129999999999998
Process101,53,0.20399999999999985
Process101,54,0.21566666666666642
Process101,55,0.23199999999999982
Process101,56,0.23199999999999982
Process101,57,0.22999999999999982
Process101,58,0.2409999999999998
Process101,59,0.23166666666666647
Process101,60,0.19399999999999973
Process101,61,0.17633333333333323
Process101,62,0.21199999999999986
Process101,63,0.19566666666666643
Process101,64,0.19733333333333308
Process101,65,0.20199999999999982
Process101,66,0.20866666666666644
Process101,67,0.2613333333333331
Process101,68,0.23966666666666647
Process101,69,0.23899999999999982
Process101,70,0.2183333333333331
Process101,71,0.1956666666666665
Process101,72,0.2169999999999998
Process101,73,0.23599999999999985
Process101,74,0.2189999999999998
Process101,75,0.22433333333333316
Process101,76,0.2246666666666665
Process101,77,0.2213333333333331
Process101,78,0.2869999999999997
Process101,79,0.21166666666666645
Process101,80,0.21133333333333312
Process101,81,0.18899999999999978
Process101,82,0.1949999999999998
Process101,83,0.2746666666666664
Process101,84,0.18799999999999978
Process101,85,0.22899999999999981
Process101,86,0.1609999999999998
Process101,87,0.2166666666666665
Process101,88,0.2296666666666664
Process101,89,0.2203333333333331
Process101,90,0.23599999999999982
Process101,91,0.21599999999999978
Process101,92,0.20766666666666653
Process101,93,0.19933333333333314
Process101,94,0.18833333333333313
Process101,95,0.21633333333333316
Process101,96,0.20799999999999977
Process101,97,0.18433333333333307
Process101,98,0.19499999999999978
Process101,99,0.2073333333333331
Process101,100,0.23566666666666647
