model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,GED,,
Process101,0,0,0,0,0,0,0,0,0.676
Process101,0,0,0,0,0,0,1,1,0.573
Process101,0,0,0,0,0,0,2,2,0.624
Process101,0,0,0,0,0,0,3,3,0.432
Process101,0,0,0,0,0,1,0,1,0.655
Process101,0,0,0,0,0,1,1,2,0.597
Process101,0,0,0,0,0,1,2,3,0.562
Process101,0,0,0,0,0,1,3,4,0.534
Process101,0,0,0,0,0,2,0,2,0.65
Process101,0,0,0,0,0,2,1,3,0.594
Process101,0,0,0,0,0,2,2,4,0.547
Process101,0,0,0,0,0,2,3,5,0.351
Process101,0,0,0,0,0,3,0,3,0.596
Process101,0,0,0,0,0,3,1,4,0.559
Process101,0,0,0,0,0,3,2,5,0.563
Process101,0,0,0,0,0,3,3,6,0.688
Process101,0,0,0,0,1,0,0,1,0.687
Process101,0,0,0,0,1,0,1,2,0.712
Process101,0,0,0,0,1,0,2,3,0.658
Process101,0,0,0,0,1,0,3,4,0.533
Process101,0,0,0,0,1,1,0,2,0.624
Process101,0,0,0,0,1,1,1,3,0.623
Process101,0,0,0,0,1,1,2,4,0.585
Process101,0,0,0,0,1,1,3,5,0.576
Process101,0,0,0,0,1,2,0,3,0.681
Process101,0,0,0,0,1,2,1,4,0.461
Process101,0,0,0,0,1,2,2,5,0.471
Process101,0,0,0,0,1,2,3,6,0.569
Process101,0,0,0,0,1,3,0,4,0.612
Process101,0,0,0,0,1,3,1,5,0.632
Process101,0,0,0,0,1,3,2,6,0.649
Process101,0,0,0,0,1,3,3,7,0.603
Process101,0,0,0,0,2,0,0,2,0.551
Process101,0,0,0,0,2,0,1,3,0.678
Process101,0,0,0,0,2,0,2,4,0.6
Process101,0,0,0,0,2,0,3,5,0.416
Process101,0,0,0,0,2,1,0,3,0.542
Process101,0,0,0,0,2,1,1,4,0.662
Process101,0,0,0,0,2,1,2,5,0.453
Process101,0,0,0,0,2,1,3,6,0.585
Process101,0,0,0,0,2,2,0,4,0.517
Process101,0,0,0,0,2,2,1,5,0.212
Process101,0,0,0,0,2,2,2,6,0.516
Process101,0,0,0,0,2,2,3,7,0.534
Process101,0,0,0,0,2,3,0,5,0.518
Process101,0,0,0,0,2,3,1,6,0.567
Process101,0,0,0,0,2,3,2,7,0.608
Process101,0,0,0,0,2,3,3,8,0.378
Process101,0,0,0,0,3,0,0,3,0.654
Process101,0,0,0,0,3,0,1,4,0.563
Process101,0,0,0,0,3,0,2,5,0.527
Process101,0,0,0,0,3,0,3,6,0.442
Process101,0,0,0,0,3,1,0,4,0.652
Process101,0,0,0,0,3,1,1,5,0.637
Process101,0,0,0,0,3,1,2,6,0.552
Process101,0,0,0,0,3,1,3,7,0.542
Process101,0,0,0,0,3,2,0,5,0.633
Process101,0,0,0,0,3,2,1,6,0.423
Process101,0,0,0,0,3,2,2,7,0.588
Process101,0,0,0,0,3,2,3,8,0.434
Process101,0,0,0,0,3,3,0,6,0.564
Process101,0,0,0,0,3,3,1,7,0.624
Process101,0,0,0,0,3,3,2,8,0.436
Process101,0,0,0,0,3,3,3,9,0.396
Process101,0,0,0,1,0,0,0,1,0.643
Process101,0,0,0,1,0,0,1,2,0.616
