model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,,,
Process101,0,0,0,0,0,0,0,0,1,1,1,1,0.7675,GED,-0.618156921,0.38211798
Process101,0,0,0,0,0,0,1,1,0.824561404,0.824561404,0.945294118,0.937172775,0.65,CNE,-0.618156921,0.38211798
Process101,0,0,0,0,0,0,2,2,0.836363636,0.836363636,0.950192308,0.943277311,0.7025,Jaccard,-0.655774361,0.430040012
Process101,0,0,0,0,0,0,3,3,0.719298246,0.719298246,0.917333333,0.897545358,0.535,WGED,-0.726524142,0.527837329
Process101,0,0,0,0,0,1,0,1,0.991150442,0.991150442,0.995,0.99694501,0.75,LCS,-0.507359397,0.257413558
Process101,0,0,0,0,0,1,1,2,0.831858407,0.831858407,0.941557895,0.940314136,0.6725,,,
Process101,0,0,0,0,0,1,2,3,0.882882883,0.882882883,0.957033248,0.959417274,0.6725,,,
Process101,0,0,0,0,0,1,3,4,0.678899083,0.678899083,0.909885057,0.886486486,0.5025,,,
Process101,0,0,0,0,0,2,0,2,0.982142857,0.982142857,0.992142857,0.993871297,0.7575,,,
Process101,0,0,0,0,0,2,1,3,0.946428571,0.946428571,0.981956522,0.981500514,0.7075,,,
Process101,0,0,0,0,0,2,2,4,0.767857143,0.767857143,0.92887218,0.91728526,0.6775,,,
Process101,0,0,0,0,0,2,3,5,0.696428571,0.696428571,0.91184953,0.890440387,0.49,,,
Process101,0,0,0,0,0,3,0,3,0.972972973,0.972972973,0.987142857,0.990778689,0.66,,,
Process101,0,0,0,0,0,3,1,4,0.936936937,0.936936937,0.979347826,0.978350515,0.5525,,,
Process101,0,0,0,0,0,3,2,5,0.756756757,0.756756757,0.923646617,0.913829787,0.6775,,,
Process101,0,0,0,0,0,3,3,6,0.80733945,0.80733945,0.938868778,0.933403805,0.6425,,,
Process101,0,0,0,0,1,0,0,1,0.991304348,0.991304348,0.995333333,0.996954315,0.77,,,
Process101,0,0,0,0,1,0,1,2,0.852173913,0.852173913,0.819688889,0.946930281,0.6325,,,
Process101,0,0,0,0,1,0,2,3,0.782608696,0.782608696,0.805785441,0.920969442,0.6425,,,
Process101,0,0,0,0,1,0,3,4,0.782608696,0.782608696,0.933738657,0.920969442,0.4175,,,
Process101,0,0,0,0,1,1,0,2,0.98245614,0.98245614,0.927142857,0.99389002,0.7725,,,
Process101,0,0,0,0,1,1,1,3,0.946428571,0.946428571,0.914090909,0.981500514,0.67,,,
Process101,0,0,0,0,1,1,2,4,0.789473684,0.789473684,0.933965517,0.924130664,0.3675,,,
Process101,0,0,0,0,1,1,3,5,0.743362832,0.743362832,0.922827586,0.907446809,0.6475,,,
Process101,0,0,0,0,1,2,0,3,0.973451327,0.973451327,0.989619048,0.990806946,0.7275,,,
Process101,0,0,0,0,1,2,1,4,0.849557522,0.849557522,0.9458,0.946764092,0.6575,,,
Process101,0,0,0,0,1,2,2,5,0.785714286,0.785714286,0.929115385,0.923890063,0.5725,,,
Process101,0,0,0,0,1,2,3,6,0.75,0.75,0.923714286,0.910638298,0.4925,,,
Process101,0,0,0,0,1,3,0,4,0.972972973,0.972972973,0.987142857,0.990778689,0.59,,,
Process101,0,0,0,0,1,3,1,5,0.900900901,0.900900901,0.960706522,0.965767635,0.6425,,,
Process101,0,0,0,0,1,3,2,6,0.785714286,0.785714286,0.929115385,0.923890063,0.3025,,,
Process101,0,0,0,0,1,3,3,7,0.720720721,0.720720721,0.917258621,0.900428266,0.5,,,
Process101,0,0,0,0,2,0,0,2,0.982758621,0.982758621,0.992606061,0.993908629,0.74,,,
Process101,0,0,0,0,2,0,1,3,0.886956522,0.886956522,0.830294118,0.95966908,0.64,,,
Process101,0,0,0,0,2,0,2,4,0.852173913,0.852173913,0.949700855,0.946930281,0.6125,,,
Process101,0,0,0,0,2,0,3,5,0.75862069,0.75862069,0.858,0.911205074,0.5,,,
Process101,0,0,0,0,2,1,0,3,0.973913043,0.973913043,0.989878788,0.990835031,0.5375,,,
Process101,0,0,0,0,2,1,1,4,0.912280702,0.912280702,0.96459596,0.969072165,0.6775,,,
Process101,0,0,0,0,2,1,2,5,0.807017544,0.807017544,0.87,0.930672269,0.635,,,
Process101,0,0,0,0,2,1,3,6,0.789473684,0.789473684,0.862807018,0.924130664,0.36,,,
Process101,0,0,0,0,2,2,0,4,0.98245614,0.98245614,0.865,0.99389002,0.7325,,,
Process101,0,0,0,0,2,2,1,5,0.842105263,0.842105263,0.945242105,0.943632568,0.5375,,,
Process101,0,0,0,0,2,2,2,6,0.736842105,0.736842105,0.722222222,0.904255319,0.6,,,
Process101,0,0,0,0,2,2,3,7,0.803571429,0.803571429,0.808888889,0.930453109,0.4125,,,
Process101,0,0,0,0,2,3,0,5,0.955752212,0.955752212,0.853142857,0.984631148,0.575,,,
Process101,0,0,0,0,2,3,1,6,0.814159292,0.814159292,0.938333333,0.933823529,0.5775,,,
Process101,0,0,0,0,2,3,2,7,0.696428571,0.696428571,0.787986111,0.890440387,0.565,,,
Process101,0,0,0,0,2,3,3,8,0.733944954,0.733944954,0.92362069,0.906852248,0.49,,,
Process101,0,0,0,0,3,0,0,3,0.991304348,0.991304348,0.995333333,0.996954315,0.7575,,,
Process101,0,0,0,0,3,0,1,4,0.931034483,0.931034483,0.974375,0.975409836,0.6325,,,
Process101,0,0,0,0,3,0,2,5,0.752136752,0.752136752,0.800054446,0.908033827,0.5925,,,
Process101,0,0,0,0,3,0,3,6,0.683760684,0.683760684,0.714623656,0.881156317,0.53,,,
Process101,0,0,0,0,3,1,0,4,0.965517241,0.965517241,0.859878788,0.987780041,0.74,,,
Process101,0,0,0,0,3,1,1,5,0.896551724,0.896551724,0.8957,0.962886598,0.615,,,
Process101,0,0,0,0,3,1,2,6,0.8,0.8,0.74,0.927521008,0.685,,,
Process101,0,0,0,0,3,1,3,7,0.655172414,0.655172414,0.707217391,0.870689655,0.5425,,,
Process101,0,0,0,0,3,2,0,5,0.973451327,0.973451327,0.922142857,0.990806946,0.73,,,
Process101,0,0,0,0,3,2,1,6,0.852173913,0.852173913,0.751976471,0.946930281,0.55,,,
Process101,0,0,0,0,3,2,2,7,0.782608696,0.782608696,0.732615385,0.920969442,0.6325,,,
Process101,0,0,0,0,3,2,3,8,0.649122807,0.649122807,0.705217391,0.87027027,0.4525,,,
Process101,0,0,0,0,3,3,0,6,0.964912281,0.964912281,0.862142857,0.987742594,0.7175,,,
Process101,0,0,0,0,3,3,1,7,0.867256637,0.867256637,0.755524297,0.953173777,0.69,,,
Process101,0,0,0,0,3,3,2,8,0.767857143,0.767857143,0.925789474,0.91728526,0.4525,,,
Process101,0,0,0,0,3,3,3,9,0.678571429,0.678571429,0.907909091,0.88362069,0.58,,,
Process101,0,0,0,1,0,0,0,1,0.92173913,0.92173913,0.942934783,0.963746224,0.66,,,
Process101,0,0,0,1,0,0,1,2,0.852173913,0.852173913,0.92308676,0.93883792,0.72,,,
Process101,0,0,0,1,0,0,2,3,0.765217391,0.765217391,0.897536232,0.906832298,0.4625,,,
Process101,0,0,0,1,0,0,3,4,0.643478261,0.643478261,0.880869565,0.86031746,0.5175,,,
Process101,0,0,0,1,0,1,0,2,0.964912281,0.964912281,0.962687747,0.978978979,0.7275,,,
Process101,0,0,0,1,0,1,1,3,0.824561404,0.824561404,0.91242746,0.929230769,0.5675,,,
Process101,0,0,0,1,0,1,2,4,0.789473684,0.789473684,0.905138571,0.916408669,0.6575,,,
Process101,0,0,0,1,0,1,3,5,0.649122807,0.649122807,0.875441795,0.863492063,0.4875,,,
Process101,0,0,0,1,0,2,0,3,0.849557522,0.849557522,0.930425121,0.938650307,0.73,,,
Process101,0,0,0,1,0,2,1,4,0.831858407,0.831858407,0.918471375,0.932307692,0.6775,,,
Process101,0,0,0,1,0,2,2,5,0.761061947,0.761061947,0.897758454,0.906542056,0.5875,,,
Process101,0,0,0,1,0,2,3,6,0.672566372,0.672566372,0.881622253,0.873417722,0.445,,,
Process101,0,0,0,1,0,3,0,4,0.910714286,0.910714286,0.938085474,0.960486322,0.675,,,
Process101,0,0,0,1,0,3,1,5,0.875,0.875,0.92488491,0.948012232,0.5125,,,
Process101,0,0,0,1,0,3,2,6,0.696428571,0.696428571,0.884892554,0.883280757,0.485,,,
Process101,0,0,0,1,0,3,3,7,0.732142857,0.732142857,0.891083851,0.896551724,0.5375,,,
Process101,0,0,0,1,1,0,0,2,0.973913043,0.973913043,0.961536232,0.982035928,0.6675,,,
Process101,0,0,0,1,1,0,1,3,0.8,0.8,0.907360793,0.919753086,0.4525,,,
Process101,0,0,0,1,1,0,2,4,0.689655172,0.689655172,0.817619565,0.877358491,0.6075,,,
Process101,0,0,0,1,1,0,3,5,0.701754386,0.701754386,0.75567476,0.883647799,0.4625,,,
Process101,0,0,0,1,1,1,0,3,0.904347826,0.904347826,0.938369565,0.957575758,0.405,,,
Process101,0,0,0,1,1,1,1,4,0.834782609,0.834782609,0.916681531,0.932515337,0.6825,,,
Process101,0,0,0,1,1,1,2,5,0.834782609,0.834782609,0.786669565,0.932515337,0.4925,,,
Process101,0,0,0,1,1,1,3,6,0.778761062,0.778761062,0.772650942,0.913043478,0.56,,,
Process101,0,0,0,1,1,2,0,4,0.929824561,0.929824561,0.820434783,0.966767372,0.7175,,,
Process101,0,0,0,1,1,2,1,5,0.824561404,0.824561404,0.91242746,0.929230769,0.605,,,
Process101,0,0,0,1,1,2,2,6,0.771929825,0.771929825,0.899980676,0.909937888,0.5575,,,
Process101,0,0,0,1,1,2,3,7,0.631578947,0.631578947,0.872961957,0.856687898,0.41,,,
Process101,0,0,0,1,1,3,0,5,0.920353982,0.920353982,0.87402108,0.963636364,0.6,,,
Process101,0,0,0,1,1,3,1,6,0.810810811,0.810810811,0.839480676,0.925696594,0.515,,,
Process101,0,0,0,1,1,3,2,7,0.654867257,0.654867257,0.745596838,0.866666667,0.5625,,,
Process101,0,0,0,1,1,3,3,8,0.727272727,0.727272727,0.898046036,0.896226415,0.65,,,
Process101,0,0,0,1,2,0,0,3,0.956521739,0.956521739,0.956081686,0.975975976,0.745,,,
Process101,0,0,0,1,2,0,1,4,0.775862069,0.775862069,0.772202899,0.910216718,0.6075,,,
Process101,0,0,0,1,2,0,2,5,0.672413793,0.672413793,0.750086957,0.870662461,0.585,,,
Process101,0,0,0,1,2,0,3,6,0.717948718,0.717948718,0.69109945,0.8875,0.6325,,,
Process101,0,0,0,1,2,1,0,4,0.956521739,0.956521739,0.832687747,0.975975976,0.725,,,
Process101,0,0,0,1,2,1,1,5,0.844827586,0.844827586,0.85308676,0.935779817,0.4725,,,
Process101,0,0,0,1,2,1,2,6,0.747826087,0.747826087,0.767239801,0.900311526,0.5725,,,
Process101,0,0,0,1,2,1,3,7,0.765217391,0.765217391,0.902539257,0.906832298,0.5975,,,
Process101,0,0,0,1,2,2,0,5,0.92173913,0.92173913,0.880550725,0.963746224,0.6575,,,
Process101,0,0,0,1,2,2,1,6,0.852173913,0.852173913,0.724546036,0.93883792,0.5475,,,
Process101,0,0,0,1,2,2,2,7,0.730434783,0.730434783,0.763697151,0.89375,0.48,,,
Process101,0,0,0,1,2,2,3,8,0.643478261,0.643478261,0.67991502,0.86031746,0.6125,,,
Process101,0,0,0,1,2,3,0,6,0.877192982,0.877192982,0.864702899,0.948170732,0.6075,,,
Process101,0,0,0,1,2,3,1,7,0.761061947,0.761061947,0.901928389,0.906542056,0.5925,,,
Process101,0,0,0,1,2,3,2,8,0.745454545,0.745454545,0.896569362,0.902821317,0.5475,,,
Process101,0,0,0,1,2,3,3,9,0.684210526,0.684210526,0.753628186,0.876971609,0.4475,,,
Process101,0,0,0,1,3,0,0,4,0.905982906,0.905982906,0.812934783,0.957703927,0.6975,,,
Process101,0,0,0,1,3,0,1,5,0.888888889,0.888888889,0.80321256,0.951515152,0.665,,,
