model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,,
Process25,0,0,0,0,0,0,0,0,1,1,1,1,0.7925,GED,-0.467799602
Process25,0,0,0,0,0,0,1,1,0.679245283,0.679245283,0.814659207,0.768707483,0.715,CNE,-0.467799602
Process25,0,0,0,0,0,0,2,2,0.480769231,0.480769231,0.746244755,0.602941176,0.6425,Jaccard,-0.690890559
Process25,0,0,0,0,0,0,3,3,0.3,0.3,0.697798408,0.444444444,0.4075,WGED,-0.500831392
Process25,0,0,0,0,0,1,0,1,0.990654206,0.990654206,0.99125,0.993902439,0.78,LCS,-0.469934473
Process25,0,0,0,0,0,1,1,2,0.647619048,0.647619048,0.804734848,0.744827586,0.565,,
Process25,0,0,0,0,0,1,2,3,0.621359223,0.621359223,0.791934732,0.727272727,0.615,,
Process25,0,0,0,0,0,1,3,4,0.52,0.52,0.755481319,0.649635036,0.505,,
Process25,0,0,0,0,0,2,0,2,0.981132075,0.981132075,0.986315789,0.987730061,0.7725,,
Process25,0,0,0,0,0,2,1,3,0.528301887,0.528301887,0.761153846,0.64028777,0.5825,,
Process25,0,0,0,0,0,2,2,4,0.582524272,0.582524272,0.781070513,0.695035461,0.4,,
Process25,0,0,0,0,0,2,3,5,0.549019608,0.549019608,0.766630037,0.669064748,0.655,,
Process25,0,0,0,0,0,3,0,3,0.971428571,0.971428571,0.97925,0.981481481,0.5925,,
Process25,0,0,0,0,0,3,1,4,0.685714286,0.685714286,0.818630952,0.775510204,0.5825,,
Process25,0,0,0,0,0,3,2,5,0.557692308,0.557692308,0.771919231,0.671428571,0.5175,,
Process25,0,0,0,0,0,3,3,6,0.387755102,0.387755102,0.718566667,0.538461538,0.4425,,
Process25,0,0,0,0,1,0,0,1,0.990825688,0.990825688,0.992222222,0.993939394,0.7925,,
Process25,0,0,0,0,1,0,1,2,0.654205607,0.654205607,0.8075,0.746575342,0.555,,
Process25,0,0,0,0,1,0,2,3,0.455445545,0.455445545,0.743737745,0.589552239,0.515,,
Process25,0,0,0,0,1,0,3,4,0.297029703,0.297029703,0.695333333,0.436507937,0.5625,,
Process25,0,0,0,0,1,1,0,2,0.990654206,0.990654206,0.993157895,0.993902439,0.7675,,
Process25,0,0,0,0,1,1,1,3,0.773584906,0.773584906,0.862089372,0.842105263,0.7775,,
Process25,0,0,0,0,1,1,2,4,0.44,0.44,0.738321078,0.578947368,0.4975,,
Process25,0,0,0,0,1,1,3,5,0.446808511,0.446808511,0.733116162,0.606060606,0.3975,,
Process25,0,0,0,0,1,2,0,3,0.971962617,0.971962617,0.979380117,0.981595092,0.72,,
Process25,0,0,0,0,1,2,1,4,0.830188679,0.830188679,0.888047619,0.883870968,0.585,,
Process25,0,0,0,0,1,2,2,5,0.519230769,0.519230769,0.756923077,0.637681159,0.5325,,
Process25,0,0,0,0,1,2,3,6,0.384615385,0.384615385,0.717484787,0.511450382,0.54,,
Process25,0,0,0,0,1,3,0,4,0.971428571,0.971428571,0.978407895,0.981481481,0.73,,
Process25,0,0,0,0,1,3,1,5,0.754716981,0.754716981,0.850181818,0.82781457,0.62,,
Process25,0,0,0,0,1,3,2,6,0.4,0.4,0.724933333,0.541984733,0.54,,
Process25,0,0,0,0,1,3,3,7,0.56,0.56,0.771050725,0.683453237,0.4625,,
Process25,0,0,0,0,2,0,0,2,0.990825688,0.990825688,0.9935,0.993939394,0.7775,,
