model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,
Process25,0,0,0,0,0,0,0,0,1,1,1,1,0.77,-0.567226106
Process25,0,0,0,0,0,0,1,1,0.666666667,0.666666667,0.810151515,0.834146341,0.55,
Process25,0,0,0,0,0,0,2,2,0.52,0.52,0.758426573,0.756345178,0.555,
Process25,0,0,0,0,0,0,3,3,0.411764706,0.411764706,0.726666667,0.6875,0.485,
Process25,0,0,0,0,0,1,0,1,0.990654206,0.990654206,0.993157895,0.995535714,0.775,
Process25,0,0,0,0,0,1,1,2,0.653465347,0.653465347,0.803533333,0.828431373,0.6175,
Process25,0,0,0,0,0,1,2,3,0.59047619,0.59047619,0.782694805,0.787128713,0.4875,
Process25,0,0,0,0,0,1,3,4,0.571428571,0.571428571,0.774207718,0.776119403,0.4475,
Process25,0,0,0,0,0,2,0,2,0.981132075,0.981132075,0.984407895,0.99103139,0.785,
Process25,0,0,0,0,0,2,1,3,0.622641509,0.622641509,0.798691725,0.803921569,0.5125,
Process25,0,0,0,0,0,2,2,4,0.634615385,0.634615385,0.798901515,0.81372549,0.64,
Process25,0,0,0,0,0,2,3,5,0.442307692,0.442307692,0.734599224,0.701030928,0.5625,
Process25,0,0,0,0,0,3,0,3,0.971428571,0.971428571,0.9765,0.986486486,0.59,
Process25,0,0,0,0,0,3,1,4,0.59047619,0.59047619,0.787987901,0.787128713,0.5725,
Process25,0,0,0,0,0,3,2,5,0.54368932,0.54368932,0.766407524,0.763819095,0.565,
Process25,0,0,0,0,0,3,3,6,0.495049505,0.495049505,0.75075,0.739795918,0.4675,
Process25,0,0,0,0,1,0,0,1,0.990825688,0.990825688,0.992222222,0.995555556,0.725,
Process25,0,0,0,0,1,0,1,2,0.754716981,0.754716981,0.849604135,0.876777251,0.735,
Process25,0,0,0,0,1,0,2,3,0.44,0.44,0.733833333,0.70984456,0.5375,
Process25,0,0,0,0,1,0,3,4,0.534653465,0.534653465,0.761630037,0.762626263,0.6075,
Process25,0,0,0,0,1,1,0,2,0.981481481,0.981481481,0.985795455,0.991071429,0.8025,
Process25,0,0,0,0,1,1,1,3,0.725490196,0.725490196,0.837714286,0.865384615,0.6525,
Process25,0,0,0,0,1,1,2,4,0.462962963,0.462962963,0.742015915,0.704081633,0.4875,
Process25,0,0,0,0,1,1,3,5,0.5,0.5,0.751540616,0.736040609,0.46,
Process25,0,0,0,0,1,2,0,3,0.971962617,0.971962617,0.979380117,0.986547085,0.6475,
Process25,0,0,0,0,1,2,1,4,0.547169811,0.547169811,0.7675,0.76,0.5775,
Process25,0,0,0,0,1,2,2,5,0.554455446,0.554455446,0.76797619,0.773869347,0.6,
Process25,0,0,0,0,1,2,3,6,0.571428571,0.571428571,0.773951049,0.788944724,0.5675,
Process25,0,0,0,0,1,3,0,4,0.962264151,0.962264151,0.971602339,0.981981982,0.7725,
Process25,0,0,0,0,1,3,1,5,0.641509434,0.641509434,0.802351515,0.814634146,0.505,
Process25,0,0,0,0,1,3,2,6,0.757281553,0.757281553,0.852380952,0.880952381,0.24,
Process25,0,0,0,0,1,3,3,7,0.4375,0.4375,0.731757576,0.71875,0.5,
Process25,0,0,0,0,2,0,0,2,0.990825688,0.990825688,0.9935,0.995555556,0.7775,
Process25,0,0,0,0,2,0,1,3,0.79245283,0.79245283,0.869740887,0.896713615,0.765,
Process25,0,0,0,0,2,0,2,4,0.54,0.54,0.76114359,0.767676768,0.535,
Process25,0,0,0,0,2,0,3,5,0.392156863,0.392156863,0.720740741,0.67539267,0.3075,
Process25,0,0,0,0,2,1,0,3,0.981481481,0.981481481,0.985380117,0.991071429,0.7675,
Process25,0,0,0,0,2,1,1,4,0.769230769,0.769230769,0.859482323,0.886255924,0.72,
Process25,0,0,0,0,2,1,2,5,0.458715596,0.458715596,0.741494253,0.698979592,0.575,
Process25,0,0,0,0,2,1,3,6,0.392523364,0.392523364,0.722938218,0.661458333,0,
Process25,0,0,0,0,2,2,0,4,0.981132075,0.981132075,0.987157895,0.99103139,0.7625,
Process25,0,0,0,0,2,2,1,5,0.691588785,0.691588785,0.82241342,0.841346154,0.6225,
Process25,0,0,0,0,2,2,2,6,0.628571429,0.628571429,0.796738462,0.808823529,0.415,
Process25,0,0,0,0,2,2,3,7,0.566037736,0.566037736,0.773934238,0.771144279,0,
Process25,0,0,0,0,2,3,0,5,0.962264151,0.962264151,0.970630117,0.981981982,0.7525,
Process25,0,0,0,0,2,3,1,6,0.634615385,0.634615385,0.802326087,0.81372549,0.58,
Process25,0,0,0,0,2,3,2,7,0.424242424,0.424242424,0.727395968,0.703125,0.5625,
Process25,0,0,0,0,2,3,3,8,0.470588235,0.470588235,0.743653846,0.723076923,0.3525,
Process25,0,0,0,0,3,0,0,3,0.990825688,0.990825688,0.992222222,0.995555556,0.77,
Process25,0,0,0,0,3,0,1,4,0.774774775,0.774774775,0.860979021,0.88317757,0.6175,
Process25,0,0,0,0,3,0,2,5,0.552380952,0.552380952,0.770102814,0.765,0.5675,
Process25,0,0,0,0,3,0,3,6,0.388349515,0.388349515,0.71937931,0.670157068,0.565,
Process25,0,0,0,0,3,1,0,4,0.972477064,0.972477064,0.981619048,0.986607143,0.685,
Process25,0,0,0,0,3,1,1,5,0.640776699,0.640776699,0.798993007,0.818627451,0.705,
Process25,0,0,0,0,3,1,2,6,0.509803922,0.509803922,0.754690476,0.746192893,0.605,
Process25,0,0,0,0,3,1,3,7,0.697247706,0.697247706,0.83007107,0.842105263,0.67,
Process25,0,0,0,0,3,2,0,5,0.95412844,0.95412844,0.966630117,0.977578475,0.68,
Process25,0,0,0,0,3,2,1,6,0.780952381,0.780952381,0.864088713,0.891509434,0.77,
Process25,0,0,0,0,3,2,2,7,0.304761905,0.304761905,0.701015038,0.609625668,0.3175,
Process25,0,0,0,0,3,2,3,8,0.647619048,0.647619048,0.807684938,0.819512195,0.4975,
Process25,0,0,0,0,3,3,0,6,0.962264151,0.962264151,0.969694444,0.981981982,0.7125,
Process25,0,0,0,0,3,3,1,7,0.628571429,0.628571429,0.798895941,0.808823529,0.7025,
Process25,0,0,0,0,3,3,2,8,0.547169811,0.547169811,0.769666667,0.76,0.5375,
Process25,0,0,0,0,3,3,3,9,0.435643564,0.435643564,0.731954416,0.704663212,0.5175,
Process25,0,0,0,1,0,0,0,1,0.697247706,0.697247706,0.758059207,0.826484018,0.6725,
Process25,0,0,0,1,0,0,1,2,0.598130841,0.598130841,0.721484848,0.774647887,0.67,
