model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,,
Process113,0,0,0,0,0,0,0,0,1,1,1,1,0.3925,-0.375484484,0.140988597
Process113,0,0,0,0,0,0,1,1,0.890243902,0.890243902,0.797142857,0.98136646,0.3225,,
Process113,0,0,0,0,0,0,2,2,0.950617284,0.950617284,0.972302632,0.991752577,0.3925,,
Process113,0,0,0,0,0,0,3,3,0.914634146,0.914634146,0.953809524,0.98553719,0.315,,
Process113,0,0,0,0,0,1,0,1,0.993865031,0.993865031,0.995333333,0.998973306,0.4075,,
Process113,0,0,0,0,0,1,1,2,0.944785276,0.944785276,0.967739938,0.990721649,0.3225,,
Process113,0,0,0,0,0,1,2,3,0.90797546,0.90797546,0.949920635,0.984488108,0.3475,,
Process113,0,0,0,0,0,1,3,4,0.785276074,0.785276074,0.782904348,0.963427377,0.36,,
Process113,0,0,0,0,0,2,0,2,0.987654321,0.987654321,0.991803922,0.997944502,0.345,,
Process113,0,0,0,0,0,2,1,3,0.888888889,0.888888889,0.797030812,0.98134715,0.3425,,
Process113,0,0,0,0,0,2,2,4,0.851851852,0.851851852,0.739285714,0.975051975,0.345,,
Process113,0,0,0,0,0,2,3,5,0.802469136,0.802469136,0.761693017,0.966597077,0.285,,
Process113,0,0,0,0,0,3,0,3,0.98136646,0.98136646,0.98827451,0.99691358,0.3275,,
Process113,0,0,0,0,0,3,1,4,0.919254658,0.919254658,0.954561404,0.98655636,0.2875,,
Process113,0,0,0,0,0,3,2,5,0.807453416,0.807453416,0.766975439,0.967640919,0.3625,,
Process113,0,0,0,0,0,3,3,6,0.844720497,0.844720497,0.924545455,0.973985432,0.3125,,
Process113,0,0,0,0,1,0,0,1,0.993939394,0.993939394,0.996666667,0.998974359,0.3525,,
Process113,0,0,0,0,1,0,1,2,0.93902439,0.93902439,0.964035088,0.989690722,0.365,,
Process113,0,0,0,0,1,0,2,3,0.921212121,0.921212121,0.925672269,0.986584107,0.3775,,
Process113,0,0,0,0,1,0,3,4,0.884848485,0.884848485,0.907142857,0.980331263,0.35,,
Process113,0,0,0,0,1,1,0,2,0.987804878,0.987804878,0.953137255,0.997946612,0.3675,,
Process113,0,0,0,0,1,1,1,3,0.902439024,0.902439024,0.949393939,0.983453981,0.33,,
Process113,0,0,0,0,1,1,2,4,0.895705521,0.895705521,0.862859649,0.982401656,0.3425,,
Process113,0,0,0,0,1,1,3,5,0.756097561,0.756097561,0.816594203,0.958115183,0.31,,
Process113,0,0,0,0,1,2,0,3,0.981595092,0.981595092,0.99,0.996916752,0.3975,,
Process113,0,0,0,0,1,2,1,4,0.895705521,0.895705521,0.880716113,0.982401656,0.3675,,
Process113,0,0,0,0,1,2,2,5,0.87654321,0.87654321,0.790396825,0.979253112,0.37,,
