sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,GED,CNE,Jaccard,W-GED,LCS
ProcessD,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.405
ProcessD,0,0,0,0,0,0,1,0.8898305084745762,0.8898305084745762,0.9324539295392954,0.9723698193411264,0.4
ProcessD,0,0,0,0,0,0,2,0.8983050847457628,0.8983050847457628,0.9000277067348679,0.9745222929936306,0.38750000000000007
ProcessD,0,0,0,0,0,0,3,0.8220338983050848,0.8220338983050848,0.8452063310450039,0.954983922829582,0.3500000000000001
ProcessD,0,0,0,0,0,1,0,0.9957446808510638,0.9957446808510638,0.9980645161290322,0.9989506820566632,0.4175
ProcessD,0,0,0,0,0,1,1,0.9617021276595745,0.9617021276595744,0.9460714285714287,0.9905163329820864,0.4075000000000001
ProcessD,0,0,0,0,0,1,2,0.902127659574468,0.902127659574468,0.8993240454076368,0.975583864118896,0.4275
ProcessD,0,0,0,0,0,1,3,0.8680851063829788,0.8680851063829788,0.9065454545454545,0.9669509594882729,0.39
ProcessD,0,0,0,0,0,2,0,0.9914529914529915,0.9914529914529915,0.9961290322580646,0.9978991596638656,0.39250000000000007
ProcessD,0,0,0,0,0,2,1,0.9230769230769231,0.9230769230769231,0.9565195195195195,0.9809322033898306,0.37250000000000005
ProcessD,0,0,0,0,0,2,2,0.8717948717948718,0.8717948717948718,0.891104118993135,0.9680170575692963,0.40750000000000003
ProcessD,0,0,0,0,0,2,3,0.853448275862069,0.853448275862069,0.8599780701754387,0.9636363636363636,0.43000000000000005
ProcessD,0,0,0,0,0,3,0,0.9871244635193133,0.9871244635193133,0.9892869269949067,0.9968454258675079,0.4175000000000001
ProcessD,0,0,0,0,0,3,1,0.944206008583691,0.944206008583691,0.9505916305916307,0.9862579281183932,0.375
ProcessD,0,0,0,0,0,3,2,0.8326180257510729,0.8326180257510729,0.8623845029239767,0.9581993569131833,0.37
ProcessD,0,0,0,0,0,3,3,0.8927038626609443,0.8927038626609443,0.9190216450216451,0.973404255319149,0.37
ProcessD,0,0,0,0,1,0,0,0.9957805907172996,0.9957805907172996,0.9961111111111112,0.9989517819706499,0.3950000000000001
ProcessD,0,0,0,0,1,0,1,0.9367088607594937,0.9367088607594937,0.9244479405034325,0.9841605068637803,0.39
ProcessD,0,0,0,0,1,0,2,0.905982905982906,0.905982905982906,0.9156516516516517,0.9766454352441614,0.4275
ProcessD,0,0,0,0,1,0,3,0.7932489451476793,0.7932489451476793,0.8425776838148932,0.9473118279569892,0.375
ProcessD,0,0,0,0,1,1,0,0.9957446808510638,0.9957446808510638,0.9958823529411766,0.9989506820566632,0.4225000000000001
ProcessD,0,0,0,0,1,1,1,0.9702127659574468,0.9702127659574468,0.9735972222222222,0.9926315789473684,0.385
ProcessD,0,0,0,0,1,1,2,0.8983050847457628,0.8983050847457628,0.8976825396825397,0.9745222929936306,0.37500000000000006
ProcessD,0,0,0,0,1,1,3,0.8936170212765957,0.8936170212765957,0.9008540372670808,0.973432518597237,0.32999999999999996
ProcessD,0,0,0,0,1,2,0,0.9872340425531915,0.9872340425531915,0.9824724108658744,0.9968487394957983,0.43250000000000005
ProcessD,0,0,0,0,1,2,1,0.9401709401709402,0.9401709401709402,0.9373062200956939,0.9852008456659619,0.4175000000000001
ProcessD,0,0,0,0,1,2,2,0.8340425531914893,0.8340425531914893,0.8736007905138341,0.9582441113490364,0.38250000000000006
ProcessD,0,0,0,0,1,2,3,0.8425531914893617,0.8425531914893617,0.8623484848484849,0.960427807486631,0.38249999999999995
ProcessD,0,0,0,0,1,3,0,0.9871244635193133,0.9871244635193133,0.9892869269949067,0.9968454258675079,0.4225000000000001
ProcessD,0,0,0,0,1,3,1,0.9658119658119658,0.9658119658119658,0.9597573529411765,0.9915700737618546,0.41000000000000003
ProcessD,0,0,0,0,1,3,2,0.9098712446351931,0.9098712446351931,0.9235187165775401,0.9777070063694268,0.3725
ProcessD,0,0,0,0,1,3,3,0.8205128205128205,0.8205128205128205,0.8626142697881829,0.9549356223175965,0.38750000000000007
ProcessD,0,0,0,0,2,0,0,0.9915966386554622,0.9915966386554622,0.9873611111111111,0.9979035639412998,0.4075000000000001
ProcessD,0,0,0,0,2,0,1,0.9620253164556962,0.9620253164556962,0.9546973684210527,0.9905263157894737,0.38000000000000006
ProcessD,0,0,0,0,2,0,2,0.9159663865546218,0.9159663865546218,0.9109590792838875,0.9788359788359788,0.41250000000000003
ProcessD,0,0,0,0,2,0,3,0.8438818565400844,0.8438818565400844,0.8577627627627629,0.9604700854700855,0.42000000000000015
ProcessD,0,0,0,0,2,1,0,0.9957805907172996,0.9957805907172996,0.9961111111111112,0.9989517819706499,0.395
ProcessD,0,0,0,0,2,1,1,0.9367088607594937,0.9367088607594937,0.938341589267286,0.9841605068637803,0.38750000000000007
ProcessD,0,0,0,0,2,1,2,0.8354430379746836,0.8354430379746836,0.8822100070472164,0.9582887700534759,0.4325
ProcessD,0,0,0,0,2,1,3,0.8607594936708861,0.8607594936708861,0.8877797202797204,0.964818763326226,0.38750000000000007
ProcessD,0,0,0,0,2,2,0,0.9830508474576272,0.9830508474576272,0.9806960950764008,0.9957983193277311,0.41500000000000004
ProcessD,0,0,0,0,2,2,1,0.9491525423728814,0.9491525423728814,0.9507609710550887,0.9873417721518988,0.4025
ProcessD,0,0,0,0,2,2,2,0.9230769230769231,0.9230769230769231,0.9229228208862077,0.9809322033898306,0.38750000000000007
ProcessD,0,0,0,0,2,2,3,0.8240343347639485,0.8240343347639485,0.870600790513834,0.9560085836909871,0.3775
