sep=,
addActSerial,addActParallel,replaceAct,addConst,swapActivities,totalChanges,GED,LCS
0,0,0,0,0,0,1.0,0.5012252770900554
0,0,0,0,1,1,0.9322033898305084,0.4678858113782641
0,0,0,0,2,2,0.9067796610169492,0.45747329915044865
0,0,0,0,3,3,0.8135593220338984,0.45350507126562745
0,0,0,1,0,1,0.9957805907172996,0.5043087140390925
0,0,0,1,1,2,0.9491525423728814,0.5028377780527329
0,0,0,1,2,3,0.8860759493670887,0.4732090097973044
0,0,0,1,3,4,0.7848101265822784,0.4312046219483098
0,0,0,2,0,2,0.9915966386554622,0.5131236467696607
0,0,0,2,1,3,0.957983193277311,0.49078423534583976
0,0,0,2,2,4,0.8151260504201681,0.44213975169231373
0,0,0,2,3,5,0.9067796610169492,0.43419246992850014
0,0,0,3,0,3,0.9915966386554622,0.4923039406763151
0,0,0,3,1,4,0.9372384937238494,0.4630725574248872
0,0,0,3,2,5,0.8619246861924686,0.4596148948726977
0,0,0,3,3,6,0.8319327731092436,0.4372771657322711
0,0,1,0,0,1,0.9620253164556962,0.47694915207377986
0,0,1,0,1,2,0.9704641350210971,0.4729475816847508
0,0,1,0,2,3,0.8945147679324894,0.45202988975067215
0,0,1,0,3,4,0.810126582278481,0.43325167085449146
0,0,1,1,0,2,0.9789029535864979,0.4879507434286847
0,0,1,1,1,3,0.9327731092436975,0.4943878936594188
0,0,1,1,2,4,0.8739495798319328,0.3943029233792482
0,0,1,1,3,5,0.7899159663865546,0.42512676676947825
0,0,1,2,0,3,0.9495798319327731,0.4780908483772471
0,0,1,2,1,4,0.9121338912133892,0.4860866296475612
0,0,1,2,2,5,0.8451882845188284,0.45956903751152267
0,0,1,2,3,6,0.7949790794979079,0.4485034069243341
0,0,1,3,0,4,0.9623430962343096,0.46060605738500504
0,0,1,3,1,5,0.9121338912133892,0.4745491656293589
0,0,1,3,2,6,0.8583333333333334,0.460536255983669
0,0,1,3,3,7,0.85,0.3200255702420076
0,0,2,0,0,2,0.9159663865546218,0.4617635633451511
0,0,2,0,1,3,0.8991596638655462,0.4634875932692344
0,0,2,0,2,4,0.8403361344537815,0.4318443674863696
0,0,2,0,3,5,0.7647058823529411,0.4337333108525402
0,0,2,1,0,3,0.9663865546218487,0.4669367556063252
0,0,2,1,1,4,0.8702928870292888,0.4524930650180826
0,0,2,1,2,5,0.8823529411764706,0.4535619593613054
0,0,2,1,3,6,0.8284518828451883,0.46073885166111617
0,0,2,2,0,4,0.925,0.4865486324038105
0,0,2,2,1,5,0.8833333333333333,0.3745944369918107
0,0,2,2,2,6,0.8666666666666667,0.4551127018770683
0,0,2,2,3,7,0.803347280334728,0.4364402217633238
0,0,2,3,0,5,0.9211618257261411,0.4471000131838052
0,0,2,3,1,6,0.8879668049792531,0.4440174117667594
0,0,2,3,2,7,0.8451882845188284,0.42096709633266804
0,0,2,3,3,8,0.7219917012448133,0.3989606563844661
0,0,3,0,0,3,0.895397489539749,0.4622587736314267
0,0,3,0,1,4,0.9121338912133892,0.46989989135782256
0,0,3,0,2,5,0.7949790794979079,0.4297865333747868
0,0,3,0,3,6,0.7782426778242678,0.4020563699903801
0,0,3,1,0,4,0.9121338912133892,0.452778824474296
0,0,3,1,1,5,0.8666666666666667,0.43142866604115426
0,0,3,1,2,6,0.8151260504201681,0.4417395013601437
0,0,3,1,3,7,0.7563025210084033,0.4214433244063243
0,0,3,2,0,5,0.8796680497925311,0.4573193666151001
0,0,3,2,1,6,0.8583333333333334,0.4531779858297783
0,0,3,2,2,7,0.8381742738589212,0.4006078105981388
0,0,3,2,3,8,0.8796680497925311,0.43436544454130965
0,0,3,3,0,6,0.8962655601659751,0.4710842173795292
0,0,3,3,1,7,0.8067226890756303,0.41058832647419163
0,0,3,3,2,8,0.7520661157024793,0.420204652898345
0,0,3,3,3,9,0.7468879668049793,0.3848540723900191
0,1,0,0,0,1,0.9957805907172996,0.49538529736038805
0,1,0,0,1,2,0.919831223628692,0.4739985254833554
0,1,0,0,2,3,0.919831223628692,0.4167542292506847
0,1,0,0,3,4,0.869198312236287,0.44312564991356707
0,1,0,1,0,2,0.9957805907172996,0.4818686713714686
0,1,0,1,1,3,0.957983193277311,0.48699075277912873
0,1,0,1,2,4,0.923728813559322,0.46169844460136367
0,1,0,1,3,5,0.8898305084745762,0.4297618110218098
0,1,0,2,0,3,0.9874476987447699,0.500307758190925
0,1,0,2,1,4,0.9663865546218487,0.3949044482883465
0,1,0,2,2,5,0.9121338912133892,0.41800722573620014
0,1,0,2,3,6,0.865546218487395,0.4537193421599809
0,1,0,3,0,4,0.9874476987447699,0.4764974413104586
0,1,0,3,1,5,0.95,0.46144093342089076
0,1,0,3,2,6,0.875,0.4595703997967543
0,1,0,3,3,7,0.865546218487395,0.446471146063115
0,1,1,0,0,2,0.957983193277311,0.4870745891682655
0,1,1,0,1,3,0.9159663865546218,0.48864073815498593
0,1,1,0,2,4,0.865546218487395,0.44614872442552705
0,1,1,0,3,5,0.8823529411764706,0.4637742369135792
0,1,1,1,0,3,0.9707112970711297,0.483854210415977
0,1,1,1,1,4,0.9205020920502092,0.4589879111873628
0,1,1,1,2,5,0.8487394957983193,0.4476774535058454
0,1,1,1,3,6,0.8870292887029289,0.4691740512934329
0,1,1,2,0,4,0.9416666666666667,0.46539382173049887
0,1,1,2,1,5,0.9205020920502092,0.4490217066876284
0,1,1,2,2,6,0.8786610878661087,0.4509098507438166
0,1,1,2,3,7,0.8166666666666667,0.4272400453713029
0,1,1,3,0,5,0.9626556016597511,0.47286454347185636
0,1,1,3,1,6,0.8879668049792531,0.43626518130721126
0,1,1,3,2,7,0.9211618257261411,0.42374578775513266
0,1,1,3,3,8,0.875,0.4459493438116643
0,1,2,0,0,3,0.9539748953974896,0.4676091765764706
0,1,2,0,1,4,0.9121338912133892,0.43203577680550664
0,1,2,0,2,5,0.8368200836820083,0.44251394568726166
0,1,2,0,3,6,0.8368200836820083,0.4665573127813551
0,1,2,1,0,4,0.925,0.4681919240974135
0,1,2,1,1,5,0.875,0.443126706484602
0,1,2,1,2,6,0.8416666666666667,0.4488468263056611
0,1,2,1,3,7,0.8,0.36630628417233413
0,1,2,2,0,5,0.9211618257261411,0.46160370507678383
0,1,2,2,1,6,0.9,0.4503184620770541
0,1,2,2,2,7,0.8786610878661087,0.4364347892892208
0,1,2,2,3,8,0.8215767634854771,0.3972194631151581
0,1,2,3,0,6,0.9173553719008265,0.4537581357210301
0,1,2,3,1,7,0.8925619834710744,0.4563390008598635
0,1,2,3,2,8,0.8512396694214877,0.46219758801629796
0,1,2,3,3,9,0.743801652892562,0.37887316945096927
0,1,3,0,0,4,0.8916666666666666,0.4476124530502902
0,1,3,0,1,5,0.8666666666666667,0.42460305927046144
0,1,3,0,2,6,0.85,0.42476170495747795
0,1,3,0,3,7,0.775,0.399169103111351
0,1,3,1,0,5,0.9045643153526971,0.46477460721502306
0,1,3,1,1,6,0.8215767634854771,0.47158961670440125
0,1,3,1,2,7,0.8583333333333334,0.4041628580230095
0,1,3,1,3,8,0.8,0.42405904273605255
0,1,3,2,0,6,0.884297520661157,0.4540109895749783
0,1,3,2,1,7,0.8760330578512396,0.4737311724198685
0,1,3,2,2,8,0.7851239669421488,0.44511324560829657
0,1,3,2,3,9,0.8347107438016529,0.42585052626578335
0,1,3,3,0,7,0.8962655601659751,0.43963217058188897
0,1,3,3,1,8,0.8264462809917356,0.4161288062352563
0,1,3,3,2,9,0.7818930041152263,0.40601076608531517
0,1,3,3,3,10,0.7478991596638656,0.41537556045148066
0,2,0,0,0,2,0.9915966386554622,0.49471021448292213
0,2,0,0,1,3,0.957983193277311,0.4753400382879092
0,2,0,0,2,4,0.907563025210084,0.4384933335619281
0,2,0,0,3,5,0.7899159663865546,0.43387201917157586
0,2,0,1,0,3,0.9874476987447699,0.48945144234360616
0,2,0,1,1,4,0.9539748953974896,0.46266171012840107
0,2,0,1,2,5,0.8870292887029289,0.46371785836326707
0,2,0,1,3,6,0.8535564853556485,0.4046838738608861
0,2,0,2,0,4,0.9833333333333333,0.48847338380465466
0,2,0,2,1,5,0.9456066945606695,0.46982047134475
0,2,0,2,2,6,0.8702928870292888,0.4639983532685902
0,2,0,2,3,7,0.8166666666666667,0.39612580729815133
0,2,0,3,0,5,0.979253112033195,0.4716660912319589
0,2,0,3,1,6,0.9121338912133892,0.4700738039356477
0,2,0,3,2,7,0.875,0.467583919881855
0,2,0,3,3,8,0.8786610878661087,0.35483825076900577
0,2,1,0,0,3,0.9456066945606695,0.46445430261162
0,2,1,0,1,4,0.9205020920502092,0.4566250735640114
0,2,1,0,2,5,0.8870292887029289,0.4319225929223869
0,2,1,0,3,6,0.8451882845188284,0.3655390695290318
0,2,1,1,0,4,0.9583333333333334,0.47889764754844144
0,2,1,1,1,5,0.9159663865546218,0.4787598535822773
