sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,GED,LCS,BehavioralProfile
ResearchPaper1,0,0,0,0,0,0,0,1.0,1.0,1.0
ResearchPaper1,0,0,0,0,0,0,1,0.8545454545454545,1.0,0.9208791208791208
ResearchPaper1,0,0,0,0,0,0,2,0.8076923076923077,1.0,0.9573033707865168
ResearchPaper1,0,0,0,0,0,0,3,0.6481481481481481,1.0,0.7052023121387283
ResearchPaper1,0,0,0,0,0,1,0,0.9908256880733946,1.0,0.9977116704805492
ResearchPaper1,0,0,0,0,0,1,1,0.8990825688073394,1.0,0.9465478841870824
ResearchPaper1,0,0,0,0,0,1,2,0.7378640776699029,1.0,0.9419642857142857
ResearchPaper1,0,0,0,0,0,1,3,0.8932038834951457,1.0,0.9730337078651685
ResearchPaper1,0,0,0,0,0,2,0,0.9814814814814815,1.0,0.8926940639269406
ResearchPaper1,0,0,0,0,0,2,1,0.7407407407407407,1.0,0.8898876404494382
ResearchPaper1,0,0,0,0,0,2,2,0.7407407407407407,1.0,0.9379157427937915
ResearchPaper1,0,0,0,0,0,2,3,0.6296296296296297,1.0,0.6817325800376648
ResearchPaper1,0,0,0,0,0,3,0,0.9719626168224299,1.0,0.9497716894977168
ResearchPaper1,0,0,0,0,0,3,1,0.8411214953271028,1.0,0.8826185101580135
ResearchPaper1,0,0,0,0,0,3,2,0.8155339805825242,1.0,0.9552572706935123
ResearchPaper1,0,0,0,0,0,3,3,0.6728971962616823,1.0,0.8725701943844493
ResearchPaper1,0,0,0,0,1,0,0,1.0,1.0,1.0
ResearchPaper1,0,0,0,0,1,0,1,0.8363636363636364,1.0,0.8185567010309278
ResearchPaper1,0,0,0,0,1,0,2,0.8648648648648649,1.0,0.43592677345537756
ResearchPaper1,0,0,0,0,1,0,3,0.5405405405405406,1.0,0.540268456375839
ResearchPaper1,0,0,0,0,1,1,0,0.9908256880733946,1.0,0.95662100456621
ResearchPaper1,0,0,0,0,1,1,1,0.8363636363636364,1.0,0.9293598233995585
ResearchPaper1,0,0,0,0,1,1,2,0.7339449541284404,1.0,0.9336283185840708
ResearchPaper1,0,0,0,0,1,1,3,0.5688073394495412,1.0,0.8229166666666666
ResearchPaper1,0,0,0,0,1,2,0,0.9724770642201834,1.0,0.897025171624714
ResearchPaper1,0,0,0,0,1,2,1,0.7476635514018692,1.0,0.9288888888888889
ResearchPaper1,0,0,0,0,1,2,2,0.7037037037037037,1.0,0.37786259541984735
ResearchPaper1,0,0,0,0,1,2,3,0.5871559633027523,1.0,0.6846307385229541
ResearchPaper1,0,0,0,0,1,3,0,0.962962962962963,1.0,0.9610983981693364
ResearchPaper1,0,0,0,0,1,3,1,0.7592592592592593,1.0,0.8789237668161435
ResearchPaper1,0,0,0,0,1,3,2,0.7407407407407407,1.0,0.6042780748663101
ResearchPaper1,0,0,0,0,1,3,3,0.4716981132075472,1.0,0.8422174840085288
ResearchPaper1,0,0,0,0,2,0,0,0.9821428571428571,1.0,0.997716894977169
ResearchPaper1,0,0,0,0,2,0,1,0.8035714285714286,1.0,0.9422222222222222
ResearchPaper1,0,0,0,0,2,0,2,0.7027027027027026,1.0,0.8836206896551724
ResearchPaper1,0,0,0,0,2,0,3,0.7142857142857143,1.0,0.8739130434782608
ResearchPaper1,0,0,0,0,2,1,0,0.972972972972973,1.0,1.0
ResearchPaper1,0,0,0,0,2,1,1,0.7636363636363637,1.0,0.9683257918552036
ResearchPaper1,0,0,0,0,2,1,2,0.6363636363636364,1.0,0.8768898488120951
ResearchPaper1,0,0,0,0,2,1,3,0.6476190476190475,1.0,0.5419463087248322
ResearchPaper1,0,0,0,0,2,2,0,0.9636363636363636,1.0,0.9657534246575342
ResearchPaper1,0,0,0,0,2,2,1,0.7818181818181819,1.0,0.7326530612244898
ResearchPaper1,0,0,0,0,2,2,2,0.6481481481481481,1.0,0.7312775330396476
ResearchPaper1,0,0,0,0,2,2,3,0.6727272727272727,1.0,0.5742397137745975
ResearchPaper1,0,0,0,0,2,3,0,0.9541284403669725,1.0,0.7651991614255765
