sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,totalChanges,correspondence
/model89/original,0,0,0,0,0,0,0,1.0
/model89/original,0,0,0,0,0,1,1,0.99581589958159
/model89/original,0,0,0,0,0,2,2,0.9915966386554622
/model89/original,0,0,0,0,0,3,3,0.9873417721518988
/model89/original,0,0,0,0,1,0,1,1.0
/model89/original,0,0,0,0,1,1,2,0.9916666666666667
/model89/original,0,0,0,0,1,2,3,0.9874476987447699
/model89/original,0,0,0,0,1,3,4,0.9831932773109243
/model89/original,0,0,0,0,2,0,2,0.9917355371900827
/model89/original,0,0,0,0,2,1,3,0.9875518672199171
/model89/original,0,0,0,0,2,2,4,0.9874476987447699
/model89/original,0,0,0,0,2,3,5,0.9790794979079498
/model89/original,0,0,0,0,3,0,3,0.9876543209876543
/model89/original,0,0,0,0,3,1,4,0.9834710743801653
/model89/original,0,0,0,0,3,2,5,0.9833333333333333
/model89/original,0,0,0,0,3,3,6,0.9833333333333333
/model89/original,0,0,0,1,0,0,1,0.9583333333333334
/model89/original,0,0,0,1,0,1,2,0.9121338912133892
/model89/original,0,0,0,1,0,2,3,0.9747899159663865
/model89/original,0,0,0,1,0,3,4,0.9535864978902954
/model89/original,0,0,0,1,1,0,2,0.9128630705394191
/model89/original,0,0,0,1,1,1,3,0.9666666666666667
/model89/original,0,0,0,1,1,2,4,0.9456066945606695
/model89/original,0,0,0,1,1,3,5,0.9411764705882353
/model89/original,0,0,0,1,2,0,3,0.970954356846473
/model89/original,0,0,0,1,2,1,4,0.9626556016597511
/model89/original,0,0,0,1,2,2,5,0.9333333333333333
/model89/original,0,0,0,1,2,3,6,0.9288702928870293
/model89/original,0,0,0,1,3,0,4,0.9586776859504132
/model89/original,0,0,0,1,3,1,5,0.9128630705394191
/model89/original,0,0,0,1,3,2,6,0.9377593360995851
/model89/original,0,0,0,1,3,3,7,0.9539748953974896
/model89/original,0,0,0,2,0,0,2,0.8833333333333333
/model89/original,0,0,0,2,0,1,3,0.895397489539749
/model89/original,0,0,0,2,0,2,4,0.9411764705882353
/model89/original,0,0,0,2,0,3,5,0.9113924050632911
/model89/original,0,0,0,2,1,0,3,0.9211618257261411
/model89/original,0,0,0,2,1,1,4,0.9288702928870293
/model89/original,0,0,0,2,1,2,5,0.9411764705882353
/model89/original,0,0,0,2,1,3,6,0.9367088607594937
/model89/original,0,0,0,2,2,0,4,0.884297520661157
/model89/original,0,0,0,2,2,1,5,0.8962655601659751
/model89/original,0,0,0,2,2,2,6,0.9166666666666666
/model89/original,0,0,0,2,2,3,7,0.9243697478991597
/model89/original,0,0,0,2,3,0,5,0.9218106995884774
/model89/original,0,0,0,2,3,1,6,0.8630705394190872
/model89/original,0,0,0,2,3,2,7,0.9288702928870293
/model89/original,0,0,0,2,3,3,8,0.8583333333333334
/model89/original,0,0,0,3,0,0,3,0.8666666666666667
/model89/original,0,0,0,3,0,1,4,0.8535564853556485
/model89/original,0,0,0,3,0,2,5,0.8739495798319328
/model89/original,0,0,0,3,0,3,6,0.8945147679324894
/model89/original,0,0,0,3,1,0,4,0.8630705394190872
/model89/original,0,0,0,3,1,1,5,0.9166666666666666
/model89/original,0,0,0,3,1,2,6,0.8786610878661087
/model89/original,0,0,0,3,1,3,7,0.8739495798319328
/model89/original,0,0,0,3,2,0,5,0.9045643153526971
/model89/original,0,0,0,3,2,1,6,0.8879668049792531
/model89/original,0,0,0,3,2,2,7,0.875
/model89/original,0,0,0,3,2,3,8,0.9159663865546218
/model89/original,0,0,0,3,3,0,6,0.8641975308641976
/model89/original,0,0,0,3,3,1,7,0.8760330578512396
/model89/original,0,0,0,3,3,2,8,0.8916666666666666
/model89/original,0,0,0,3,3,3,9,0.8916666666666666
/model89/original,0,0,1,0,0,0,1,0.9787234042553191
/model89/original,0,0,1,0,0,1,2,0.9743589743589743
/model89/original,0,0,1,0,0,2,3,0.9655172413793104
/model89/original,0,0,1,0,0,3,4,0.9743589743589743
/model89/original,0,0,1,0,1,0,2,0.9831932773109243
/model89/original,0,0,1,0,1,1,3,0.9789029535864979
/model89/original,0,0,1,0,1,2,4,0.9568965517241379
/model89/original,0,0,1,0,1,3,5,0.9473684210526316
/model89/original,0,0,1,0,2,0,3,0.9704641350210971
/model89/original,0,0,1,0,2,1,4,0.9661016949152542
/model89/original,0,0,1,0,2,2,5,0.9527896995708155
/model89/original,0,0,1,0,2,3,6,0.9613733905579399
/model89/original,0,0,1,0,3,0,4,0.975
/model89/original,0,0,1,0,3,1,5,0.9576271186440678
/model89/original,0,0,1,0,3,2,6,0.9576271186440678
/model89/original,0,0,1,0,3,3,7,0.9661016949152542
/model89/original,0,0,1,1,0,0,2,0.9367088607594937
/model89/original,0,0,1,1,0,1,3,0.9704641350210971
/model89/original,0,0,1,1,0,2,4,0.9361702127659575
/model89/original,0,0,1,1,0,3,5,0.944206008583691
/model89/original,0,0,1,1,1,0,3,0.957983193277311
/model89/original,0,0,1,1,1,1,4,0.9527896995708155
/model89/original,0,0,1,1,1,2,5,0.9067796610169492
/model89/original,0,0,1,1,1,3,6,0.9531914893617022
/model89/original,0,0,1,1,2,0,4,0.9495798319327731
/model89/original,0,0,1,1,2,1,5,0.8983050847457628
/model89/original,0,0,1,1,2,2,6,0.944206008583691
/model89/original,0,0,1,1,2,3,7,0.9361702127659575
/model89/original,0,0,1,1,3,0,5,0.9539748953974896
/model89/original,0,0,1,1,3,1,6,0.9106382978723404
/model89/original,0,0,1,1,3,2,7,0.8831168831168831
/model89/original,0,0,1,1,3,3,8,0.8728813559322034
/model89/original,0,0,1,2,0,0,3,0.923728813559322
/model89/original,0,0,1,2,0,1,4,0.9145299145299145
/model89/original,0,0,1,2,0,2,5,0.8793103448275862
/model89/original,0,0,1,2,0,3,6,0.8547008547008547
/model89/original,0,0,1,2,1,0,4,0.9067796610169492
/model89/original,0,0,1,2,1,1,5,0.8983050847457628
/model89/original,0,0,1,2,1,2,6,0.905982905982906
/model89/original,0,0,1,2,1,3,7,0.9446808510638298
/model89/original,0,0,1,2,2,0,5,0.864406779661017
/model89/original,0,0,1,2,2,1,6,0.8991596638655462
/model89/original,0,0,1,2,2,2,7,0.9067796610169492
/model89/original,0,0,1,2,2,3,8,0.8851063829787233
/model89/original,0,0,1,2,3,0,6,0.8135593220338984
/model89/original,0,0,1,2,3,1,7,0.8907563025210083
/model89/original,0,0,1,2,3,2,8,0.8936170212765957
/model89/original,0,0,1,2,3,3,9,0.8820960698689957
/model89/original,0,0,1,3,0,0,4,0.8438818565400844
/model89/original,0,0,1,3,0,1,5,0.847457627118644
/model89/original,0,0,1,3,0,2,6,0.902127659574468
/model89/original,0,0,1,3,0,3,7,0.8461538461538461
/model89/original,0,0,1,3,1,0,5,0.851063829787234
/model89/original,0,0,1,3,1,1,6,0.8595744680851064
/model89/original,0,0,1,3,1,2,7,0.8860759493670887
/model89/original,0,0,1,3,1,3,8,0.8326180257510729
/model89/original,0,0,1,3,2,0,6,0.8702928870292888
/model89/original,0,0,1,3,2,1,7,0.9029535864978903
/model89/original,0,0,1,3,2,2,8,0.8658008658008658
/model89/original,0,0,1,3,2,3,9,0.864406779661017
/model89/original,0,0,1,3,3,0,7,0.847457627118644
/model89/original,0,0,1,3,3,1,8,0.8284518828451883
/model89/original,0,0,1,3,3,2,9,0.8235294117647058
/model89/original,0,0,1,3,3,3,10,0.8340425531914893
/model89/original,0,0,2,0,0,0,2,0.9743589743589743
/model89/original,0,0,2,0,0,1,3,0.961038961038961
/model89/original,0,0,2,0,0,2,4,0.9655172413793104
/model89/original,0,0,2,0,0,3,5,0.9427312775330396
/model89/original,0,0,2,0,1,0,3,0.9478260869565217
/model89/original,0,0,2,0,1,1,4,0.9568965517241379
/model89/original,0,0,2,0,1,2,5,0.9478260869565217
/model89/original,0,0,2,0,1,3,6,0.9385964912280702
/model89/original,0,0,2,0,2,0,4,0.9527896995708155
/model89/original,0,0,2,0,2,1,5,0.9568965517241379
/model89/original,0,0,2,0,2,2,6,0.9478260869565217
/model89/original,0,0,2,0,2,3,7,0.9523809523809523
