model,mutations,GED, CNE, Jaccard, W-GED, LCS,,1,Pearson,R^2
Process101,1,0.973913043,0.973913043,0.958550725,0.989833333,0.715,,GED,-0.850880526,0.72399767
Process101,1,0.991304348,0.991304348,0.965217391,0.991731111,0.73,,CNE,-0.850880526,0.72399767
Process101,1,0.991150442,0.991150442,0.992857143,0.999168182,0.65,,Jaccard,-0.915745363,0.838589569
Process101,1,0.92173913,0.92173913,0.921050725,0.984953333,0.64,,W-GED,-0.919174368,0.844881519
Process101,1,0.92173913,0.92173913,0.926630435,0.984682222,0.615,,LCS,-0.770165921,0.593155546
Process101,1,0.991304348,0.991304348,0.965217391,0.991731111,0.68,,,,
Process101,1,0.972972973,0.972972973,0.952922078,0.989502326,0.74,,,,
Process101,1,0.859649123,0.859649123,0.924660633,0.985859091,0.71,,,,
Process101,1,0.894736842,0.894736842,0.944852941,0.989186364,0.67,,,,
Process101,1,0.991150442,0.991150442,0.963636364,0.991346512,0.68,,,,
Process101,1,0.859649123,0.859649123,0.929777778,0.985581818,0.645,,,,
Process101,1,0.991150442,0.991150442,0.992857143,0.999168182,0.73,,,,
Process101,1,0.982142857,0.982142857,0.960064935,0.990353488,0.66,,,,
Process101,1,0.991304348,0.991304348,1,0.999029545,0.775,,,,
Process101,1,0.972972973,0.972972973,0.952922078,0.989502326,0.54,,,,
Process101,1,0.991304348,0.991304348,1,0.999029545,0.76,,,,
Process101,1,0.991304348,0.991304348,0.965217391,0.991731111,0.7,,,,
Process101,1,0.991150442,0.991150442,0.996428571,0.999029545,0.525,,,,
Process101,1,0.956521739,0.956521739,0.939130435,0.988477778,0.745,,,,
Process101,1,0.991304348,0.991304348,0.965217391,0.991731111,0.69,,,,
Process101,1,0.991150442,0.991150442,0.963636364,0.991346512,0.7,,,,
Process101,1,0.94017094,0.94017094,0.936277174,0.986444444,0.74,,,,
Process101,1,0.991304348,0.991304348,0.965217391,0.991731111,0.745,,,,
Process101,1,0.991304348,0.991304348,1,0.999029545,0.66,,,,
Process101,1,0.991304348,0.991304348,0.965217391,0.991731111,0.725,,,,
Process101,1,0.912280702,0.912280702,0.95,0.991127273,0.645,,,,
Process101,1,0.894736842,0.894736842,0.944852941,0.989186364,0.68,,,,
Process101,1,0.94017094,0.94017094,0.936277174,0.986444444,0.65,,,,
Process101,1,0.965517241,0.965517241,0.945652174,0.989291111,0.725,,,,
Process101,1,0.963636364,0.963636364,0.945779221,0.988651163,0.61,,,,
Process101,1,0.991150442,0.991150442,0.963636364,0.991346512,0.735,,,,
Process101,1,0.94017094,0.94017094,0.936277174,0.986444444,0.76,,,,
Process101,1,0.991150442,0.991150442,0.992857143,0.999168182,0.65,,,,
Process101,1,0.964285714,0.964285714,0.979047619,0.996395455,0.755,,,,
Process101,1,0.991304348,0.991304348,0.965217391,0.991731111,0.76,,,,
Process101,1,0.991304348,0.991304348,0.965217391,0.991731111,0.665,,,,
Process101,1,0.912280702,0.912280702,0.95,0.991127273,0.64,,,,
Process101,1,0.824561404,0.824561404,0.911111111,0.982254545,0.67,,,,
Process101,1,0.956521739,0.956521739,0.939130435,0.988477778,0.74,,,,
Process101,1,1,1,1,1,0.635,,,,
Process101,1,0.946428571,0.946428571,0.966060606,0.994731818,0.63,,,,
Process101,1,0.886956522,0.886956522,0.910070332,0.981157778,0.62,,,,
Process101,1,0.956521739,0.956521739,0.944914361,0.988206667,0.72,,,,
Process101,1,0.991304348,0.991304348,0.965217391,0.991731111,0.68,,,,
Process101,1,0.939130435,0.939130435,0.932463768,0.98658,0.675,,,,
Process101,1,0.991304348,0.991304348,0.993181818,0.999168182,0.675,,,,
Process101,1,0.991304348,0.991304348,0.965217391,0.991731111,0.725,,,,
Process101,1,0.991304348,0.991304348,0.965217391,0.991731111,0.69,,,,
Process101,1,0.991150442,0.991150442,0.992857143,0.999168182,0.73,,,,
Process101,1,0.991304348,0.991304348,0.965217391,0.991731111,0.745,,,,
Process101,2,0.982758621,0.982758621,0.933333333,0.983821739,0.67,,,,
Process101,2,0.955752212,0.955752212,0.972878788,0.995563636,0.64,,,,
Process101,2,0.98245614,0.98245614,0.958074534,0.990917778,0.665,,,,
Process101,2,0.931034483,0.931034483,0.90719697,0.978517391,0.675,,,,
Process101,2,0.881355932,0.881355932,0.882638889,0.973345652,0.67,,,,
Process101,2,0.910714286,0.910714286,0.887826087,0.976015909,0.555,,,,
Process101,2,0.867256637,0.867256637,0.893444056,0.978862791,0.76,,,,
Process101,2,0.920353982,0.920353982,0.954891304,0.991959091,0.7,,,,
Process101,2,0.862068966,0.862068966,0.867686275,0.971886957,0.545,,,,
Process101,2,0.828828829,0.828828829,0.884636364,0.974748837,0.605,,,,
Process101,2,0.936936937,0.936936937,0.927456239,0.986097674,0.68,,,,
Process101,2,0.917431193,0.917431193,0.919545455,0.984111628,0.645,,,,
Process101,2,0.982142857,0.982142857,0.985714286,0.998336364,0.72,,,,
Process101,2,0.954954955,0.954954955,0.971904762,0.995563636,0.645,,,,
Process101,2,0.915254237,0.915254237,0.892708333,0.977058696,0.68,,,,
Process101,2,0.945454545,0.945454545,0.942207792,0.985813953,0.65,,,,
