model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapAct,,GED-Similarity
Process25,0,0,0,0,0,0,0,0,1
Process25,0,0,0,0,0,0,1,1,0.673469388
Process25,0,0,0,0,0,0,2,2,0.740740741
Process25,0,0,0,0,0,0,3,3,0.28
Process25,0,0,0,0,0,1,0,1,0.990654206
Process25,0,0,0,0,0,1,1,2,0.730769231
Process25,0,0,0,0,0,1,2,3,0.424242424
Process25,0,0,0,0,0,1,3,4,0.571428571
Process25,0,0,0,0,0,2,0,2,0.981132075
Process25,0,0,0,0,0,2,1,3,0.698113208
Process25,0,0,0,0,0,2,2,4,0.64
Process25,0,0,0,0,0,2,3,5,0.270833333
Process25,0,0,0,0,0,3,0,3,0.971428571
Process25,0,0,0,0,0,3,1,4,0.685714286
Process25,0,0,0,0,0,3,2,5,0.444444444
Process25,0,0,0,0,0,3,3,6,0.368932039
Process25,0,0,0,0,1,0,0,1,0.990825688
Process25,0,0,0,0,1,0,1,2,0.814814815
Process25,0,0,0,0,1,0,2,3,0.552380952
Process25,0,0,0,0,1,0,3,4,0.574257426
Process25,0,0,0,0,1,1,0,2,0.981481481
Process25,0,0,0,0,1,1,1,3,0.754716981
Process25,0,0,0,0,1,1,2,4,0.56
Process25,0,0,0,0,1,1,3,5,0.403846154
Process25,0,0,0,0,1,2,0,3,0.971962617
Process25,0,0,0,0,1,2,1,4,0.61682243
Process25,0,0,0,0,1,2,2,5,0.388349515
Process25,0,0,0,0,1,2,3,6,0.270833333
Process25,0,0,0,0,1,3,0,4,0.971428571
Process25,0,0,0,0,1,3,1,5,0.811320755
Process25,0,0,0,0,1,3,2,6,0.653846154
Process25,0,0,0,0,1,3,3,7,0.5
Process25,0,0,0,0,2,0,0,2,0.990825688
Process25,0,0,0,0,2,0,1,3,0.6
Process25,0,0,0,0,2,0,2,4,0.525252525
Process25,0,0,0,0,2,0,3,5,0.4
Process25,0,0,0,0,2,1,0,3,0.981481481
Process25,0,0,0,0,2,1,1,4,0.80733945
Process25,0,0,0,0,2,1,2,5,0.40776699
Process25,0,0,0,0,2,1,3,6,0.555555556
Process25,0,0,0,0,2,2,0,4,0.981132075
Process25,0,0,0,0,2,2,1,5,0.68
Process25,0,0,0,0,2,2,2,6,0.505050505
Process25,0,0,0,0,2,2,3,7,0.38
Process25,0,0,0,0,2,3,0,5,0.971428571
Process25,0,0,0,0,2,3,1,6,0.647619048
Process25,0,0,0,0,2,3,2,7,0.76
Process25,0,0,0,0,2,3,3,8,0.594059406
Process25,0,0,0,0,3,0,0,3,0.972972973
Process25,0,0,0,0,3,0,1,4,0.66
Process25,0,0,0,0,3,0,2,5,0.396039604
Process25,0,0,0,0,3,0,3,6,0.391752577
Process25,0,0,0,0,3,1,0,4,0.972477064
Process25,0,0,0,0,3,1,1,5,0.733944954
Process25,0,0,0,0,3,1,2,6,0.728971963
Process25,0,0,0,0,3,1,3,7,0.351851852
Process25,0,0,0,0,3,2,0,5,0.971962617
Process25,0,0,0,0,3,2,1,6,0.777777778
Process25,0,0,0,0,3,2,2,7,0.542056075
Process25,0,0,0,0,3,2,3,8,0.350515464
