model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapAct,GED, CNE, Jaccard
Process101,0,0,0,0,0,0,0,1.0,1.0,1.0
Process101,0,0,0,0,0,0,1,0.8771929824561404,0.8771929824561403,0.9402777777777778
Process101,0,0,0,0,0,0,2,0.7719298245614035,0.7719298245614035,0.9
Process101,0,0,0,0,0,0,3,0.7017543859649122,0.7017543859649122,0.8645933014354067
Process101,0,0,0,0,0,1,0,0.9911504424778761,0.9911504424778761,0.9964285714285714
Process101,0,0,0,0,0,1,1,0.9026548672566371,0.9026548672566371,0.9437500000000001
Process101,0,0,0,0,0,1,2,0.7610619469026548,0.7610619469026548,0.8857531760435572
Process101,0,0,0,0,0,1,3,0.6725663716814159,0.672566371681416,0.8620234604105572
Process101,0,0,0,0,0,2,0,0.9821428571428571,0.9821428571428571,0.9928571428571429
Process101,0,0,0,0,0,2,1,0.8928571428571429,0.8928571428571429,0.936
Process101,0,0,0,0,0,2,2,0.8214285714285714,0.8214285714285714,0.9136842105263159
Process101,0,0,0,0,0,2,3,0.6481481481481481,0.6481481481481481,0.8466666666666667
Process101,0,0,0,0,0,3,0,0.972972972972973,0.972972972972973,0.9857142857142858
Process101,0,0,0,0,0,3,1,0.8468468468468469,0.8468468468468469,0.925
Process101,0,0,0,0,0,3,2,0.7747747747747747,0.7747747747747747,0.8932748538011697
Process101,0,0,0,0,0,3,3,0.7567567567567568,0.7567567567567568,0.8897222222222223
Process101,0,0,0,0,1,0,0,0.991304347826087,0.991304347826087,1.0
Process101,0,0,0,0,1,0,1,0.9217391304347826,0.9217391304347826,0.9558333333333333
Process101,0,0,0,0,1,0,2,0.8,0.8,0.9070175438596492
Process101,0,0,0,0,1,0,3,0.7304347826086957,0.7304347826086957,0.8769100169779287
Process101,0,0,0,0,1,1,0,0.9824561403508771,0.9824561403508771,0.9933333333333334
Process101,0,0,0,0,1,1,1,0.9122807017543859,0.9122807017543859,0.9495833333333334
Process101,0,0,0,0,1,1,2,0.8070175438596492,0.8070175438596491,0.9083333333333334
Process101,0,0,0,0,1,1,3,0.7407407407407407,0.7407407407407407,0.8833333333333334
Process101,0,0,0,0,1,2,0,0.9734513274336283,0.9734513274336283,0.9857142857142858
Process101,0,0,0,0,1,2,1,0.8495575221238938,0.8495575221238938,0.9254117647058824
Process101,0,0,0,0,1,2,2,0.7964601769911505,0.7964601769911505,0.9044534412955466
Process101,0,0,0,0,1,2,3,0.7433628318584071,0.7433628318584071,0.8842857142857143
Process101,0,0,0,0,1,3,0,0.9642857142857143,0.9642857142857143,0.9857142857142858
Process101,0,0,0,0,1,3,1,0.8571428571428572,0.8571428571428571,0.9358695652173914
Process101,0,0,0,0,1,3,2,0.8108108108108107,0.8108108108108109,0.9110526315789474
Process101,0,0,0,0,1,3,3,0.6964285714285714,0.6964285714285714,0.8734326018808778
Process101,0,0,0,0,2,0,0,0.9827586206896551,0.9827586206896551,1.0
Process101,0,0,0,0,2,0,1,0.8620689655172413,0.8620689655172413,0.9343529411764706
Process101,0,0,0,0,2,0,2,0.8448275862068966,0.8448275862068966,0.9258547008547009
Process101,0,0,0,0,2,0,3,0.7068965517241379,0.7068965517241379,0.8691387559808613
Process101,0,0,0,0,2,1,0,0.991304347826087,0.991304347826087,1.0
Process101,0,0,0,0,2,1,1,0.9043478260869565,0.9043478260869565,0.9562659846547314
Process101,0,0,0,0,2,1,2,0.7192982456140351,0.7192982456140351,0.8742784380305603
Process101,0,0,0,0,2,1,3,0.7719298245614035,0.7719298245614035,0.8977777777777778
Process101,0,0,0,0,2,2,0,0.9649122807017544,0.9649122807017544,0.9857142857142858
Process101,0,0,0,0,2,2,1,0.8672566371681416,0.8672566371681416,0.9314117647058824
Process101,0,0,0,0,2,2,2,0.8070175438596492,0.8070175438596491,0.9040935672514621
Process101,0,0,0,0,2,2,3,0.6666666666666667,0.6666666666666666,0.8602150537634409
Process101,0,0,0,0,2,3,0,0.9734513274336283,0.9734513274336283,0.9823809523809525
Process101,0,0,0,0,2,3,1,0.9026548672566371,0.9026548672566371,0.9517663043478262
Process101,0,0,0,0,2,3,2,0.8108108108108107,0.8108108108108109,0.9104705882352941
Process101,0,0,0,0,2,3,3,0.6902654867256637,0.6902654867256637,0.8739737274220033
Process101,0,0,0,0,3,0,0,0.9743589743589743,0.9743589743589743,0.9898484848484849
Process101,0,0,0,0,3,0,1,0.8205128205128205,0.8205128205128205,0.9075000000000001
Process101,0,0,0,0,3,0,2,0.8547008547008547,0.8547008547008547,0.9304298642533937
Process101,0,0,0,0,3,0,3,0.6379310344827587,0.6379310344827587,0.8491666666666667
Process101,0,0,0,0,3,1,0,0.9655172413793104,0.9655172413793104,0.9964285714285714
Process101,0,0,0,0,3,1,1,0.9056603773584906,0.9056603773584906,0.9500000000000001
Process101,0,0,0,0,3,1,2,0.8103448275862069,0.8103448275862069,0.9143162393162394
Process101,0,0,0,0,3,1,3,0.6548672566371682,0.6548672566371682,0.8553763440860216
Process101,0,0,0,0,3,2,0,0.9565217391304348,0.9565217391304348,0.9827922077922078
Process101,0,0,0,0,3,2,1,0.8288288288288288,0.8288288288288288,0.912
Process101,0,0,0,0,3,2,2,0.8,0.8,0.9085470085470086
Process101,0,0,0,0,3,2,3,0.6782608695652175,0.6782608695652174,0.8621875
Process101,0,0,0,0,3,3,0,0.9734513274336283,0.9734513274336283,0.9892857142857143
Process101,0,0,0,0,3,3,1,0.7894736842105263,0.7894736842105263,0.9110526315789474
Process101,0,0,0,0,3,3,2,0.8596491228070176,0.8596491228070176,0.9402813299232737
Process101,0,0,0,0,3,3,3,0.6194690265486726,0.6194690265486725,0.8439705882352941
Process101,0,0,0,1,0,0,0,0.9739130434782609,0.9739130434782609,0.9515810276679841
